nVectors,memcpyOut,plan,execu,memcpyIn
5500001,8.063,0.006,1.963,7.636
5500001,7.964,0.004,1.639,7.527
5500001,8.097,0.006,1.944,7.674
5500001,8.048,0.004,1.684,7.707
6000001,9.139,0.004,2.623,8.408
6000001,9.061,0.004,1.978,8.383
6000001,9.19,0.003,1.936,8.317
6000001,14.433,0.002,1.710,15.724
6000001,9.05,0.003,1.851,8.283
6000001,9.356,0.004,1.692,8.407
6000001,9.033,0.004,1.657,8.335
6000001,9.123,0.004,1.653,11.583
6000001,8.987,0.004,1.665,8.342
6000001,8.981,0.005,1.669,8.248
6000001,9.074,0.004,1.835,8.347
6000001,9.165,0.004,1.888,8.359
6000001,9.087,0.003,1.776,8.282
6000001,9.138,0.004,2.053,9.012
6000001,9.127,0.006,1.732,8.232
6000001,10.55,0.004,1.964,9.347
6000001,9.135,0.004,2.144,8.354
6000001,9.122,0.004,1.798,8.266
6000001,9.176,0.004,1.959,8.397
6000001,9.133,0.004,1.981,8.562
6000001,9.18,0.006,2.152,8.313
6000001,9.058,0.004,1.818,8.237
6000001,9.177,0.005,2.121,8.346
6000001,9.209,0.004,1.870,8.398
6500001,10.049,0.006,2.801,9.314
6500001,10.02,0.004,2.159,9.05
6500001,10.035,0.004,2.144,9.092
6500001,15.724,0.003,1.794,17.058
6500001,10.061,0.005,2.264,9.092
6500001,10.025,0.004,1.872,16.702
6500001,9.998,0.004,1.821,10.763
6500001,10.024,0.004,1.829,9.054
6500001,9.927,0.004,2.019,10.907
6500001,9.934,0.004,1.795,8.961
6500001,10.012,0.005,2.036,9.048
6500001,10.306,0.004,2.105,9.046
6500001,10.243,0.004,2.030,9.032
6500001,10.249,0.004,2.130,8.998
6500001,10.245,0.004,1.933,8.96
6500001,10.548,0.004,2.164,9.153
6500001,10.325,0.007,2.327,9.015
6500001,10.182,0.004,1.917,9.051
6500001,10.349,0.004,2.128,9.109
6500001,10.458,0.004,2.073,9.078
6500001,10.328,0.006,2.356,9.036
6500001,10.152,0.004,1.920,11.141
6500001,10.343,0.006,2.310,9.039
6500001,10.373,0.004,2.029,9.073
7000001,10.811,0.004,2.634,9.776
7000001,10.79,0.004,2.350,9.876
7000001,10.786,0.003,2.262,9.808
7000001,17.053,0.002,2.144,18.859
7000001,10.793,0.005,2.354,9.791
7000001,11.12,0.004,2.060,16.608
7000001,10.786,0.004,2.150,17.937
7000001,10.773,0.004,1.945,10.289
7000001,11.021,0.004,2.086,9.826
7000001,10.711,0.004,1.910,9.798
7000001,10.807,0.005,2.176,9.868
7000001,11.075,0.004,2.216,9.83
7000001,11.011,0.004,2.160,9.889
7000001,11.038,0.005,2.356,9.915
7000001,10.929,0.004,2.044,9.781
7000001,11.144,0.004,1.987,16.423
7000001,11.104,0.005,2.366,9.873
7000001,10.992,0.006,2.076,9.77
7000001,11.16,0.004,2.081,9.872
7000001,11.092,0.004,2.286,13.973
7000001,11.1,0.006,2.391,12.044
7000001,10.959,0.005,2.035,9.765
7000001,11.108,0.006,2.492,9.87
7000001,11.145,0.004,2.126,10.065
7500001,11.612,0.003,2.600,10.488
7500001,11.752,0.004,2.374,10.611
7500001,11.704,0.004,2.431,10.467
7500001,18.168,0.002,2.101,19.822
7500001,11.719,0.006,2.476,10.498
7500001,11.777,0.004,2.158,10.563
7500001,11.809,0.004,2.397,10.481
7500001,11.693,0.004,2.407,10.509
7500001,11.7,0.005,2.426,10.497
7500001,11.613,0.004,1.978,10.447
7500001,11.736,0.005,2.348,10.581
7500001,11.798,0.004,2.391,10.486
7500001,11.737,0.004,2.259,10.539
7500001,11.799,0.006,2.466,10.419
7500001,11.674,0.004,2.117,11.999
7500001,11.744,0.004,2.464,10.491
7500001,11.836,0.005,2.636,10.443
7500001,11.747,0.006,2.180,11.599
7500001,11.847,0.006,2.207,10.539
7500001,11.794,0.004,2.392,10.496
7500001,11.837,0.005,2.570,10.567
7500001,11.67,0.004,2.207,15.418
7500001,11.803,0.006,2.337,10.536
7500001,11.729,0.004,2.202,10.468
8000001,12.408,0.003,8.289,11.278
8000001,12.493,0.004,6.245,11.325
8000001,19.564,0.002,6.059,21.582
8000001,12.497,0.004,6.613,11.34
8000001,12.565,0.004,5.778,11.998
8000001,12.489,0.004,6.884,11.259
8000001,12.554,0.004,6.486,11.321
8000001,12.395,0.004,6.046,11.392
8000001,12.506,0.004,5.784,11.571
8000001,12.557,0.003,6.981,11.358
8000001,12.484,0.004,7.145,12.145
8000001,12.568,0.005,7.725,11.329
8000001,12.47,0.004,6.483,12.511
8000001,12.502,0.005,5.455,11.314
8000001,12.709,0.004,8.984,11.216
8000001,12.681,0.005,6.097,20.735
8000001,12.539,0.004,8.190,11.343
8000001,12.572,0.006,8.120,11.258
8000001,12.715,0.004,6.433,11.328
8000001,12.596,0.005,6.003,11.417
8000001,12.485,0.004,6.301,11.229
8500001,13.294,0.004,8.094,11.914
8500001,13.461,0.004,5.247,12.115
8500001,13.451,0.004,5.873,12.036
8500001,20.613,0.004,7.062,22.849
8500001,13.421,0.005,6.531,11.965
8500001,13.507,0.004,5.659,12.071
8500001,13.345,0.005,5.858,12.073
8500001,13.44,0.004,5.646,12.033
