nVectors,memcpyOut,plan,execu,memcpyIn
76800000,49.798,211.024,271.952,49.436
78000000,50.33,215.29,269.31,50.515
79200000,51.569,217.767,268.403,51.163
80400000,52.223,62.098,661.985,51.987
81600000,52.836,62.816,477.515,53.155
82800000,53.216,63.742,533.263,53.576
84000000,54.043,231.172,282.783,54.363
85200000,55.328,65.545,697.801,54.938
86400000,55.882,237.916,293.779,56.154
87600000,56.943,67.402,718.646,56.525
88800000,57.132,68.342,719.082,57.553
90000000,58.136,247.706,317.479,58.293
91200000,59.07,70.227,541.921,58.713
92400000,59.824,254.036,321.072,59.844
93600000,60.712,257.669,323.095,60.468
94800000,61.349,73.426,793.636,61.127
96000000,62.127,0.677,392.293,62.001
97200000,63.027,267.301,331.865,62.585
98400000,63.336,75.717,803.349,63.782
99600000,65.146,76.708,768.11,64.561
100800000,65.144,277.509,351.829,64.837
102000000,66.118,78.57,583.011,65.721
103200000,66.312,79.364,849.168,66.69
104400000,66.894,80.335,686.65,67.623
105600000,68.627,290.834,388.676,68.048
106800000,68.84,82.199,903.399,68.787
108000000,69.828,0.605,450.51,69.691
109200000,70.132,300.539,402.858,70.455
110400000,71.113,84.821,672.752,71.681
111600000,72.105,86.549,735.556,71.821
112800000,72.697,86.867,717.541,72.554
114000000,73.757,88.06,664.066,73.61
115200000,73.914,316.668,483.346,74.492
116400000,74.762,89.595,946.978,75.595
117600000,75.319,323.469,471.703,75.468
118800000,75.908,327.741,469.39,76.729
120000000,76.926,329.957,482.79,77.597
24,0.001,0.02,0.001,0
1200000,0.451,3.148,2.919,0.408
2400000,0.843,6.197,5.79,0.762
3600000,1.158,9.36,9.388,1.314
4800000,1.441,12.348,12.532,1.854
6000000,1.784,0.184,19.323,2.398
7200000,2.39,18.5,19.889,2.941
8400000,2.567,21.539,22.804,3.515
9600000,2.972,24.598,28.576,4.149
10800000,3.48,28.553,31.989,4.728
12000000,3.942,0.266,44.794,5.165
13200000,4.375,34.775,39.953,5.812
14400000,4.858,38.29,42.617,6.392
15600000,5.234,42.258,47.429,6.959
16800000,5.706,45.412,49.625,7.48
18000000,6.183,48.597,56.849,8.091
19200000,6.539,51.853,59.478,8.662
20400000,7.002,15.868,102.018,9.179
21600000,7.528,59.07,69.045,9.798
22800000,13.019,19.218,116.771,14.891
24000000,12.546,0.418,94.49,15.542
25200000,16.78,66.4,80.702,11.561
26400000,13.603,69.566,82.794,12.121
27600000,14.667,21.424,147.894,12.66
28800000,15.445,75.962,92.134,13.375
30000000,16.221,79.083,97.256,13.811
31200000,16.89,82.889,99.11,14.467
32400000,17.713,86.668,103.59,15.06
33600000,21.641,94.773,104.247,21.923
34800000,22.583,27.076,193.657,22.807
36000000,23.482,95.435,119.189,23.307
37200000,24.042,28.749,209.157,24.344
38400000,24.879,101.74,135.534,25.245
39600000,26.002,104.471,131.351,25.815
40800000,26.487,31.518,221.994,26.638
42000000,27.533,111.408,138.406,27.093
43200000,27.932,114.289,144.228,28.168
44400000,29.134,34.274,348.486,28.914
45600000,29.628,35.173,250.565,29.784
46800000,30.786,124.29,156.331,30.432
48000000,30.932,0.445,188.531,31.211
49200000,31.9,38.045,390.93,32.029
50400000,32.797,133.82,164.222,32.645
51600000,33.727,39.836,412.572,33.593
52800000,34.469,139.944,169.933,34.531
54000000,35.096,0.581,223.049,34.981
55200000,35.742,42.545,309.51,35.719
56400000,36.58,43.476,347.05,36.309
57600000,37.168,152.678,192.028,38.075
58800000,38.245,155.746,194.267,38.251
60000000,38.916,158.249,197.336,38.872
61200000,39.618,47.17,388.005,39.573
62400000,40.152,165.382,203.668,40.451
63600000,40.925,49.033,520.644,41.461
64800000,42.4,178.234,211.665,42.083
66000000,42.931,181.77,225.526,42.646
67200000,43.786,184.865,217.139,43.35
68400000,44.472,52.874,435.755,44.361
69600000,45.048,53.641,404.086,45.372
70800000,46.06,54.573,466.658,45.689
72000000,46.884,197.753,254.566,46.501
73200000,47.384,56.39,587.418,47.36
74400000,48.348,57.378,433.698,48.043
75600000,48.912,208.235,250.425,49.24
76800000,49.779,211.135,271.959,49.391
78000000,50.318,214.575,269.517,50.586
79200000,51.423,217.924,268.091,51.212
80400000,51.976,62.478,662.48,52.007
81600000,52.766,62.793,476.858,52.822
82800000,53.286,63.792,533.225,53.836
84000000,54.213,230.987,283.149,54.363
85200000,55.356,65.555,697.278,55.267
86400000,55.831,238.498,295.111,56.075
87600000,56.968,67.398,716.227,56.738
88800000,57.149,68.442,718.095,57.837
90000000,58.403,248.031,316.632,58.212
91200000,59.078,70.171,540.273,58.634
92400000,59.943,253.908,318.033,60.222
93600000,60.589,257.78,323.991,60.587
94800000,61.318,72.987,792.089,60.991
96000000,62.133,0.68,393.124,61.94
97200000,62.899,267.135,329.706,62.601
98400000,63.466,75.647,802.918,64.13
99600000,65.426,76.713,767.361,64.455
100800000,65.33,277.333,356.386,64.997
102000000,66.231,78.31,583.896,65.612
103200000,66.354,79.339,848.314,66.766
104400000,67.333,80.446,688.206,67.622
105600000,68.348,290.268,391.704,67.891
106800000,69.009,82.253,907.999,68.71
108000000,69.938,0.609,449.493,69.899
109200000,70.215,300.508,407.198,70.328
110400000,71.774,85.274,674.205,71.73
111600000,72.018,86.148,736.697,71.703
112800000,72.97,86.765,718.654,72.673
114000000,73.936,87.591,664.611,73.394
115200000,74.468,317.36,484.822,74.481
116400000,75.164,89.575,946.737,75.448
117600000,75.96,324.297,474.429,75.404
118800000,76.361,326.939,471.046,76.918
120000000,77.95,331.162,482.991,77.168
24,0.001,0.029,0.001,0
1200000,0.42,3.155,2.914,0.403
2400000,0.841,6.205,5.798,0.762
3600000,1.151,9.269,9.406,1.309
4800000,1.45,12.309,12.569,1.851
6000000,1.784,0.186,19.351,2.403
7200000,2.391,18.509,19.908,2.974
8400000,2.563,21.517,22.792,3.521
9600000,2.981,24.639,28.13,4.084
10800000,3.437,28.477,31.785,4.67
12000000,3.916,0.281,45.42,5.189
13200000,4.372,34.922,40.163,5.816
14400000,4.849,38.306,43.196,6.423
15600000,5.226,42.26,47.801,6.999
16800000,5.725,45.409,50.206,7.533
18000000,6.158,48.618,57.33,8.13
19200000,6.57,51.882,60.335,8.702
20400000,7.01,15.921,102.837,9.248
21600000,7.536,58.98,69.625,9.88
22800000,13.805,19.643,117.747,14.895
24000000,12.556,0.407,94.696,15.546
25200000,16.74,66.398,80.616,11.579
26400000,13.641,69.531,82.798,12.117
27600000,14.677,21.375,147.972,12.624
28800000,15.433,75.936,91.27,13.285
30000000,15.977,79.239,97.2,13.883
31200000,16.912,82.828,98.919,14.47
32400000,17.707,86.696,103.583,15.004
33600000,21.709,94.87,104.287,21.904
34800000,22.71,27.004,194.759,22.757
36000000,23.545,95.396,119.115,23.323
37200000,24.005,28.767,209.602,24.392
38400000,24.879,101.681,134.82,25.143
39600000,25.827,104.755,131.258,25.748
40800000,26.45,31.528,221.92,26.597
42000000,27.555,111.376,138.37,27.107
43200000,27.807,114.609,144.477,28.285
44400000,29.152,34.28,348.689,28.788
45600000,29.572,35.275,249.787,29.751
46800000,30.662,124.287,156.445,30.448
48000000,30.948,0.438,188.431,31.204
49200000,31.936,37.975,391.266,32.239
50400000,32.835,133.802,164.126,32.54
51600000,33.646,39.851,411.915,33.48
52800000,34.339,139.835,169.846,34.532
54000000,35.215,0.581,223.042,34.96
55200000,35.783,42.559,309.849,36.122
56400000,36.711,43.467,347.076,36.347
57600000,37.138,152.704,191.9,37.6
58800000,38.167,155.565,194.016,38.279
60000000,38.875,158.67,197.729,38.823
61200000,39.59,47.113,389.113,39.537
62400000,40.127,165.049,203.426,40.47
63600000,40.945,49.048,519.596,41.377
64800000,42.398,178.284,211.718,42.109
66000000,42.732,182.632,225.652,42.549
67200000,43.829,184.843,217.133,43.273
68400000,44.073,52.769,435.684,44.3
69600000,45.117,53.602,404.112,45.731
70800000,46.273,54.684,466.781,45.667
72000000,46.792,197.823,254.041,46.416
73200000,47.651,56.379,587.608,47.514
74400000,48.195,57.787,434.163,48.133
75600000,48.892,208.053,249.485,49.498
76800000,50.086,211.114,271.954,49.389
78000000,50.29,214.408,270.281,50.556
79200000,51.391,217.91,267.957,51.289
80400000,52.122,62.019,662.405,51.979
81600000,52.761,62.796,477.208,53.027
82800000,53.214,63.749,532.884,53.712
84000000,53.999,231.257,283.591,54.339
85200000,55.401,65.943,698.777,54.966
86400000,55.897,237.854,294.381,56.15
87600000,56.965,67.399,716.588,56.854
88800000,57.512,68.327,717.874,57.348
90000000,58.388,247.965,317.996,58.165
91200000,59.013,70.201,540.87,58.715
92400000,61.227,253.928,322.292,59.896
93600000,60.721,257.657,324.599,60.571
94800000,61.321,72.894,794.047,61.166
96000000,62.205,0.678,392.188,61.963
97200000,62.909,267.25,332.461,62.944
98400000,63.696,75.831,803.499,64.017
99600000,65.286,76.793,767.916,64.402
100800000,65.565,277.625,357.292,64.964
102000000,66.17,78.322,584.469,66.047
103200000,66.361,79.489,850.559,66.663
104400000,67.048,80.298,687.746,67.608
105600000,68.432,290.397,393.798,67.995
106800000,73.015,82.207,907.484,68.748
108000000,69.927,0.6,449.712,70.304
109200000,70.465,300.491,407.334,70.59
110400000,71.2,85.032,673.946,71.557
111600000,72.063,85.951,737.512,71.707
112800000,73.049,86.696,718.648,72.655
114000000,73.891,87.579,666.282,73.479
115200000,74.497,316.694,485.822,74.459
116400000,75.124,89.585,947.666,75.456
117600000,75.892,323.562,478.024,76.574
118800000,76.417,327.861,471.62,76.766
120000000,77.784,330.01,483.124,77.271
24,0.001,0.019,0,0
1200000,0.432,3.16,2.916,0.404
2400000,0.839,6.21,5.792,0.766
3600000,1.151,9.258,9.392,1.309
4800000,1.447,12.363,12.526,1.851
6000000,1.782,0.183,19.301,2.398
7200000,2.387,18.498,19.889,2.926
8400000,2.562,21.531,22.805,3.54
9600000,3.009,24.615,28.305,4.092
10800000,3.424,28.464,31.596,4.667
12000000,3.935,0.266,45.146,5.175
13200000,4.38,35.086,40.186,5.808
14400000,4.828,38.304,42.604,6.381
15600000,5.257,42.266,47.405,6.953
16800000,5.738,45.384,49.586,7.503
18000000,6.187,48.565,56.751,8.086
19200000,6.538,51.881,59.395,8.649
20400000,7.04,15.879,101.251,9.156
21600000,7.505,59.018,68.794,9.79
22800000,13.603,19.267,117.109,14.882
24000000,12.51,0.416,94.504,15.557
25200000,16.754,66.418,80.619,11.54
26400000,13.575,69.53,82.794,12.135
27600000,14.708,21.378,147.808,12.653
28800000,15.398,75.898,91.109,13.288
30000000,16.419,79.577,97.663,13.883
31200000,17.298,83.017,98.987,14.474
32400000,17.793,86.634,103.655,15.032
33600000,21.677,94.883,104.337,21.893
34800000,22.665,26.911,194.102,22.788
36000000,23.482,95.535,119.18,23.296
37200000,24.009,28.745,209.426,24.33
38400000,24.883,101.718,134.98,25.038
39600000,26.148,105.14,131.986,25.833
40800000,26.515,31.482,222.466,26.688
42000000,27.511,111.28,138.512,27.158
43200000,27.883,114.184,144.123,28.196
44400000,29.195,34.278,348.667,28.82
45600000,29.579,35.159,250.18,29.665
46800000,31.122,124.608,156.4,30.461
48000000,30.845,0.433,188.35,31.349
49200000,32.012,37.97,390.794,31.967
50400000,32.924,133.826,164,32.609
51600000,33.705,39.821,411.942,33.474
52800000,34.27,140.62,169.789,34.441
54000000,35.08,0.59,223.081,35.033
55200000,35.719,42.538,309.918,35.737
56400000,36.66,43.569,346.773,36.331
57600000,37.412,153.013,192.113,37.671
58800000,38.106,156.593,194.271,38.262
60000000,38.865,158.174,197.326,38.814
61200000,39.629,47.213,388.311,39.584
62400000,40.195,164.923,203.533,40.571
63600000,41.062,49.055,520.695,41.376
64800000,42.411,178.261,211.802,42.061
66000000,42.678,181.888,225.623,42.577
67200000,43.845,184.952,217.293,43.392
68400000,44.018,52.668,436.416,44.286
69600000,45.066,53.701,404.366,45.474
70800000,46.048,54.7,466.808,45.774
72000000,46.754,197.859,254.77,46.479
73200000,47.418,56.446,587.777,47.467
74400000,48.223,57.431,434.349,48.015
75600000,48.95,208.159,249.927,49.565
76800000,50.301,211.047,271.865,49.364
78000000,50.212,214.528,269.785,50.485
79200000,51.419,217.876,268.178,51.235
80400000,52.086,61.978,663.157,52.103
81600000,52.782,62.735,477.138,52.901
82800000,53.255,63.771,533.92,53.695
84000000,54.381,231.883,282.996,54.371
85200000,55.311,65.634,697.689,54.896
86400000,55.883,237.896,294.265,56.27
87600000,56.993,67.443,716.015,56.756
88800000,57.31,68.288,718.557,57.337
90000000,58.27,248.603,317.98,58.246
91200000,59.036,70.224,540.928,58.71
92400000,59.869,253.97,319.794,60.291
93600000,61.1,257.675,321.676,60.549
94800000,61.345,72.957,792.337,61.073
96000000,62.063,0.679,392.885,61.928
97200000,62.97,267.317,332.407,62.565
98400000,63.538,75.82,803.133,63.803
99600000,65.549,77.18,767.742,64.381
100800000,65.342,277.366,353.003,65.173
102000000,66.226,78.412,585.639,65.637
103200000,66.367,79.33,849.832,66.604
104400000,67.163,80.321,688.342,67.711
105600000,68.386,290.349,388.731,67.92
106800000,69.043,82.165,908.35,68.733
108000000,69.896,0.608,449.664,69.869
109200000,70.434,300.482,407.786,70.451
110400000,71.279,85.371,675.127,71.726
111600000,72.179,85.879,737.246,71.651
112800000,72.955,86.797,720.858,72.515
114000000,74.149,87.597,666.234,73.477
115200000,74.442,317.136,485.983,74.393
116400000,75.328,89.724,947.788,75.936
117600000,76,324.84,477.965,75.399
118800000,76.345,327.636,473.343,76.667
120000000,77.83,330.846,485.575,77.187
24,0.001,0.022,0.001,0.001
1200000,0.435,3.147,2.918,0.404
2400000,0.839,6.208,5.8,0.762
3600000,1.155,9.285,9.419,1.314
4800000,1.447,12.327,12.58,1.859
6000000,1.785,0.184,19.415,2.397
7200000,2.388,18.543,19.913,2.941
8400000,2.561,21.565,22.886,3.51
9600000,2.985,24.643,28.206,4.091
10800000,3.433,28.561,31.648,4.664
12000000,3.903,0.264,45.423,5.284
13200000,4.409,34.9,40.411,5.851
14400000,4.906,38.364,43.202,6.4
15600000,5.249,42.311,47.905,6.993
16800000,5.717,45.456,50.36,7.517
18000000,6.155,48.665,57.34,8.141
19200000,6.574,51.876,60.491,8.692
20400000,7.063,15.887,102.892,9.22
21600000,7.551,59.033,69.632,9.848
22800000,13.663,19.301,117,15.062
24000000,12.783,0.417,94.447,15.535
25200000,16.807,66.508,80.963,11.551
26400000,13.605,69.63,83.15,12.109
27600000,14.714,21.396,147.965,12.653
28800000,15.439,75.948,91.182,13.261
30000000,16.022,79.449,97.527,13.802
31200000,16.899,83.065,99.112,14.527
32400000,17.695,86.737,103.722,15.034
33600000,21.711,94.969,104.59,21.9
34800000,22.634,26.908,195.096,22.818
36000000,23.52,95.659,119.241,23.322
37200000,24.031,28.771,209.615,24.33
38400000,24.906,101.951,134.924,25.104
39600000,25.716,104.871,132.082,25.882
40800000,26.513,31.499,222.312,26.623
42000000,27.548,111.456,138.963,27.167
43200000,27.866,114.426,144.773,28.176
44400000,29.139,34.35,349.028,28.932
45600000,29.643,35.186,250.156,29.681
46800000,30.687,124.651,156.89,30.394
48000000,30.895,0.439,188.71,31.243
49200000,31.996,37.996,391.532,32.043
50400000,33.121,134.115,164.576,32.543
51600000,33.692,39.838,412.548,33.448
52800000,34.114,140.168,170.658,34.426
54000000,35.054,0.578,223.61,35.037
55200000,35.807,42.6,310.099,36.061
56400000,37.076,43.789,347.094,36.329
57600000,37.093,152.971,191.915,37.568
58800000,38.055,155.918,194.22,38.178
60000000,38.935,158.444,197.457,38.737
61200000,39.548,47.242,389.062,39.513
62400000,40.196,165.13,203.271,40.537
63600000,40.898,49.091,519.515,41.362
64800000,42.368,178.571,211.499,42.019
66000000,42.798,182.796,225.828,42.539
67200000,43.795,185.127,216.842,43.327
68400000,44.059,52.735,435.453,44.321
69600000,45.015,53.697,403.783,45.308
70800000,46.573,54.937,467.125,45.652
72000000,46.87,198.158,254.262,46.465
73200000,47.386,56.449,587.895,47.451
74400000,48.262,57.367,434.895,48.141
75600000,48.91,208.348,250.422,49.494
76800000,49.814,211.604,271.879,49.403
78000000,50.266,214.681,270.856,50.602
79200000,51.395,218.081,269.507,51.27
80400000,52.087,62.04,665.183,52.061
81600000,52.879,63.171,478.336,52.911
82800000,53.234,63.792,533.289,53.588
84000000,54.257,231.666,283.755,54.38
85200000,55.39,65.647,698.863,54.835
86400000,55.908,238.252,293.411,56.232
87600000,56.952,67.527,716.445,57.042
88800000,57.427,68.485,718.651,57.368
90000000,58.128,248.451,318.291,58.135
91200000,59.087,70.246,541.766,58.596
92400000,59.808,254.379,323.603,60.097
93600000,60.723,258.09,323.096,60.465
94800000,61.241,72.972,793.23,61.163
96000000,62.057,0.674,392.447,61.832
97200000,62.985,267.611,332.793,62.486
98400000,63.871,76.161,803.454,63.717
99600000,65.361,76.856,768.705,64.215
100800000,65.692,278.49,358.093,64.806
102000000,66.105,78.385,584.344,65.691
103200000,66.359,79.431,849.879,66.593
104400000,67.217,80.37,687.397,67.642
105600000,68.335,290.822,392.286,68.019
106800000,68.948,82.297,907.565,68.637
108000000,69.894,0.608,449.853,70.266
109200000,70.758,300.922,407.973,70.568
110400000,71.247,85.037,674.345,71.629
