nVectors,memcpyOut,plan,execu,memcpyIn
128,0.074,0.135,0.034,0.018,
256,0.073,0.137,0.037,0.018,
512,0.073,0.135,0.033,0.019,
1024,0.074,0.139,0.039,0.021,
2048,0.077,0.137,0.040,0.024,
4096,0.084,0.141,0.042,0.031,
8192,0.099,0.140,0.045,0.045,
16384,0.131,0.145,0.044,0.072,
32768,0.184,0.138,0.041,0.126,
65536,0.293,0.136,0.046,0.230,
131072,0.504,0.200,0.070,0.446,
262144,0.802,0.192,0.096,0.721,
524288,1.362,0.192,0.151,1.274,
1048576,2.419,0.215,0.264,2.385,
2097152,4.591,0.307,0.508,5.447,
4194304,9.128,0.361,1.054,10.698,
8388608,18.003,0.395,2.158,21.242,
16777216,35.834,0.402,4.522,96.907,
2,0.015,0.196,0.041,0.020,
2,0.073,0.139,0.018,0.017,
4,0.074,0.140,0.034,0.017,
8,0.074,0.138,0.026,0.017,
16,0.075,0.137,0.026,0.017,
32,0.074,0.138,0.027,0.018,
64,0.072,0.136,0.040,0.017,
128,0.072,0.134,0.033,0.018,
256,0.074,0.138,0.037,0.018,
512,0.073,0.134,0.033,0.019,
1024,0.074,0.137,0.040,0.021,
2048,0.176,0.148,0.040,0.024,
4096,0.084,0.142,0.042,0.031,
8192,0.099,0.138,0.045,0.045,
16384,0.132,0.144,0.045,0.071,
32768,0.185,0.136,0.041,0.126,
65536,0.293,0.136,0.046,0.232,
131072,0.521,0.200,0.070,0.446,
262144,0.801,0.193,0.096,0.719,
524288,1.364,0.193,0.150,1.286,
1048576,2.420,0.208,0.262,2.386,
2097152,4.622,0.288,0.507,5.431,
4194304,9.148,0.367,1.052,10.696,
8388608,18.028,0.383,2.143,21.216,
16777216,35.839,0.396,4.493,96.963,
2,0.016,0.189,0.042,0.020,
2,0.073,0.140,0.019,0.018,
4,0.073,0.139,0.035,0.017,
8,0.076,0.138,0.026,0.017,
16,0.076,0.137,0.026,0.017,
32,0.136,0.138,0.027,0.017,
64,0.073,0.136,0.040,0.017,
128,0.072,0.134,0.033,0.018,
256,0.073,0.137,0.037,0.018,
512,0.073,0.135,0.033,0.019,
1024,0.074,0.137,0.040,0.021,
2048,0.077,0.135,0.040,0.024,
4096,0.084,0.142,0.042,0.031,
8192,0.098,0.137,0.045,0.046,
16384,0.131,0.143,0.045,0.071,
32768,0.186,0.137,0.042,0.130,
65536,0.295,0.135,0.046,0.232,
131072,0.508,0.204,0.070,0.443,
262144,0.802,0.194,0.095,0.720,
524288,1.369,0.193,0.150,1.271,
1048576,2.416,0.208,0.264,2.388,
2097152,4.599,0.304,0.508,5.458,
4194304,9.108,0.368,1.041,10.691,
8388608,18.041,0.395,2.132,21.242,
16777216,35.795,0.396,4.519,97.476,
