nThreads,memcpyOut,plan,execu,memcpyIn
5,0.014,0.210,0.114,0.014,
6,0.013,0.355,0.234,0.018,
7,0.014,0.249,0.207,0.020,
8,0.014,0.436,0.307,0.018,
9,0.014,0.287,0.225,0.023,
10,0.015,0.504,0.399,0.029,
11,0.014,0.508,0.388,0.018,
12,0.014,0.515,0.411,0.027,
13,0.015,0.371,0.218,0.043,
14,0.014,0.629,0.690,0.033,
15,0.015,0.611,0.620,0.030,
16,0.016,0.620,0.538,0.022,
17,0.015,0.619,0.617,0.021,
18,0.015,0.617,0.547,0.033,
19,0.016,0.622,0.590,0.020,
20,0.016,0.618,0.593,0.033,
21,0.015,0.616,0.602,0.029,
22,0.016,0.621,0.624,0.033,
23,0.015,0.729,0.630,0.031,
24,0.015,0.672,0.515,0.031,
25,0.015,0.489,0.363,0.032,
26,0.016,0.975,1.504,0.036,
27,0.016,0.985,1.478,0.025,
28,0.016,0.974,1.478,0.018,
29,0.015,1.045,1.400,0.020,
30,0.014,1.079,1.361,0.034,
31,0.015,0.983,1.398,0.023,
32,0.016,0.987,1.501,0.029,
33,0.016,0.989,1.364,0.033,
34,0.018,0.989,1.472,0.021,
35,0.015,0.993,1.338,0.034,
36,0.016,0.973,1.417,0.018,
1,0.016,0.119,0.264,0.012,
2,0.014,0.147,0.180,0.013,
3,0.014,0.168,0.149,0.015,
4,0.014,0.194,0.129,0.014,
5,0.013,0.212,0.121,0.015,
6,0.014,0.357,0.270,0.021,
7,0.015,0.248,0.217,0.034,
8,0.016,0.456,0.328,0.020,
9,0.015,0.290,0.232,0.019,
10,0.014,0.505,0.378,0.018,
11,0.014,0.517,0.355,0.029,
12,0.017,0.509,0.402,0.022,
13,0.014,0.364,0.230,0.031,
14,0.016,0.620,0.544,0.033,
15,0.016,0.612,0.551,0.033,
16,0.015,0.621,0.561,0.034,
17,0.015,0.619,0.571,0.034,
18,0.016,0.621,0.518,0.029,
19,0.015,0.620,0.680,0.031,
20,0.014,0.618,0.446,0.020,
21,0.015,0.620,0.657,0.033,
22,0.014,0.624,0.567,0.027,
23,0.015,0.628,0.577,0.024,
24,0.016,0.615,0.680,0.020,
25,0.014,0.491,0.381,0.022,
26,0.016,0.972,1.479,0.034,
27,0.015,0.980,1.715,0.030,
28,0.015,0.964,1.301,0.021,
29,0.016,1.048,1.492,0.022,
30,0.016,0.966,1.576,0.031,
31,0.015,0.986,1.567,0.023,
32,0.015,0.976,1.588,0.033,
33,0.015,0.975,1.449,0.021,
34,0.017,0.990,1.493,0.036,
35,0.014,0.981,1.406,0.027,
36,0.015,0.972,1.487,0.038,
1,0.014,0.122,0.266,0.012,
2,0.014,0.148,0.285,0.023,
3,0.014,0.175,0.145,0.014,
4,0.013,0.190,0.129,0.015,
5,0.014,0.214,0.130,0.015,
6,0.014,0.355,0.260,0.031,
7,0.016,0.254,0.176,0.019,
8,0.015,0.445,0.286,0.019,
9,0.015,0.286,0.199,0.035,
10,0.015,0.507,0.418,0.033,
11,0.014,0.507,0.341,0.029,
12,0.016,0.511,0.524,0.029,
13,0.017,0.372,0.229,0.021,
14,0.015,0.612,0.697,0.021,
15,0.016,0.618,0.596,0.034,
16,0.015,0.614,0.654,0.026,
17,0.015,0.621,0.599,0.023,
18,0.016,0.613,0.635,0.033,
19,0.016,0.616,0.561,0.035,
20,0.016,0.630,0.607,0.033,
21,0.016,0.622,0.544,0.030,
22,0.018,0.622,0.618,0.036,
23,0.014,0.627,0.626,0.029,
24,0.016,0.627,0.630,0.022,
25,0.015,0.480,0.345,0.024,
26,0.017,0.977,1.500,0.028,
27,0.015,1.000,1.425,0.019,
28,0.014,0.981,1.545,0.029,
29,0.017,0.975,1.337,0.032,
30,0.016,0.977,1.284,0.032,
31,0.017,0.977,1.443,0.022,
32,0.014,0.997,1.449,0.020,
33,0.017,0.977,1.428,0.020,
34,0.016,0.986,1.383,0.021,
35,0.016,0.973,1.457,0.026,
36,0.016,0.995,1.531,0.021,
1,0.014,0.119,0.266,0.014,
2,0.016,0.147,0.180,0.014,
3,0.014,0.169,0.145,0.015,
4,0.014,0.194,0.179,0.018,
5,0.015,0.215,0.127,0.015,
6,0.014,0.355,0.272,0.027,
7,0.015,0.258,0.191,0.021,
8,0.015,0.445,0.317,0.030,
9,0.014,0.286,0.207,0.031,
10,0.014,0.508,0.459,0.022,
11,0.015,0.504,0.376,0.024,
12,0.014,0.511,0.480,0.027,
13,0.014,0.367,0.201,0.031,
14,0.014,0.623,0.562,0.019,
15,0.015,0.610,0.592,0.021,
16,0.015,0.639,0.611,0.035,
17,0.015,0.618,0.559,0.020,
18,0.016,0.622,0.637,0.020,
19,0.014,0.612,0.566,0.036,
20,0.016,0.624,0.609,0.022,
21,0.016,0.628,0.593,0.032,
22,0.015,0.620,0.642,0.031,
23,0.016,0.619,0.622,0.022,
24,0.016,0.622,0.617,0.031,
25,0.015,0.487,0.320,0.019,
26,0.016,0.977,1.429,0.018,
27,0.016,0.981,1.421,0.032,
28,0.015,0.985,1.391,0.025,
29,0.016,0.969,1.325,0.022,
30,0.015,0.969,1.289,0.033,
31,0.015,0.980,1.641,0.021,
32,0.016,0.984,1.573,0.024,
33,0.016,0.987,1.399,0.020,
34,0.016,0.973,1.465,0.020,
35,0.016,0.978,1.419,0.021,
36,0.015,0.978,1.303,0.031,
1,0.017,0.121,0.264,0.013,
2,0.015,0.148,0.182,0.014,
3,0.014,0.168,0.148,0.014,
4,0.013,0.195,0.243,0.018,
5,0.015,0.210,0.208,0.018,
6,0.014,0.357,0.264,0.033,
7,0.015,0.250,0.235,0.021,
8,0.015,0.444,0.327,0.027,
9,0.014,0.286,0.282,0.020,
10,0.016,0.503,0.371,0.027,
11,0.015,0.507,0.450,0.029,
12,0.015,0.509,0.430,0.017,
13,0.015,0.363,0.224,0.037,
14,0.014,0.608,0.584,0.024,
15,0.015,0.611,0.579,0.031,
16,0.016,0.615,0.636,0.033,
17,0.016,0.619,0.675,0.026,
18,0.015,0.626,0.562,0.020,
19,0.016,0.619,0.533,0.029,
20,0.015,0.623,0.567,0.023,
21,0.016,0.621,0.631,0.020,
22,0.016,0.645,0.551,0.022,
23,0.015,0.625,0.571,0.035,
24,0.015,0.624,0.565,0.031,
25,0.015,0.482,0.353,0.031,
26,0.017,0.972,1.464,0.023,
27,0.016,0.983,1.407,0.022,
28,0.016,0.979,1.456,0.023,
29,0.016,0.964,1.425,0.023,
30,0.016,0.965,1.409,0.032,
31,0.016,0.976,1.511,0.029,
32,0.015,0.968,1.479,0.034,
33,0.016,0.989,1.409,0.022,
34,0.015,0.986,1.264,0.032,
35,0.015,0.980,1.426,0.019,
36,0.015,0.986,1.414,0.034,
1,0.015,0.122,0.271,0.013,
2,0.015,0.148,0.180,0.014,
3,0.014,0.169,0.147,0.014,
4,0.013,0.193,0.242,0.020,
5,0.014,0.211,0.220,0.020,
6,0.014,0.361,0.271,0.030,
7,0.014,0.250,0.194,0.034,
8,0.014,0.454,0.318,0.029,
9,0.015,0.287,0.211,0.032,
10,0.015,0.509,0.400,0.038,
11,0.015,0.506,0.494,0.022,
12,0.015,0.514,0.381,0.035,
13,0.016,0.370,0.224,0.025,
14,0.015,0.617,0.528,0.031,
15,0.015,0.617,0.519,0.023,
16,0.017,0.612,0.590,0.026,
17,0.015,0.624,0.600,0.019,
18,0.016,0.609,0.471,0.022,
19,0.015,0.622,0.666,0.021,
20,0.016,0.620,0.630,0.021,
21,0.016,0.616,0.609,0.034,
22,0.015,0.626,0.633,0.034,
23,0.014,0.627,0.529,0.032,
24,0.016,0.626,0.579,0.034,
25,0.015,0.481,0.366,0.029,
26,0.013,0.971,1.283,0.035,
27,0.016,0.987,1.407,0.024,
28,0.015,0.980,1.416,0.022,
29,0.016,0.977,1.469,0.018,
30,0.015,0.975,1.472,0.021,
31,0.015,0.982,1.417,0.034,
32,0.016,0.982,1.373,0.020,
33,0.015,0.992,1.381,0.031,
34,0.016,0.979,1.536,0.022,
35,0.015,0.982,1.470,0.025,
36,0.015,0.968,1.434,0.034,
1,0.015,0.121,0.267,0.012,
2,0.015,0.147,0.284,0.022,
3,0.014,0.175,0.146,0.013,
4,0.014,0.191,0.242,0.021,
5,0.014,0.209,0.199,0.017,
6,0.014,0.358,0.259,0.023,
7,0.013,0.250,0.224,0.019,
8,0.016,0.440,0.323,0.021,
9,0.015,0.296,0.223,0.022,
10,0.014,0.510,0.402,0.032,
11,0.015,0.507,0.388,0.034,
12,0.015,0.507,0.385,0.019,
13,0.016,0.374,0.242,0.019,
14,0.014,0.614,0.565,0.033,
15,0.016,0.616,0.738,0.020,
16,0.015,0.614,0.473,0.034,
17,0.015,0.616,0.649,0.020,
18,0.015,0.616,0.634,0.028,
19,0.014,0.614,0.590,0.040,
20,0.014,0.612,0.583,0.025,
21,0.015,0.615,0.536,0.034,
22,0.016,0.641,0.731,0.033,
23,0.013,0.622,0.686,0.019,
24,0.015,0.614,0.509,0.021,
25,0.015,0.480,0.320,0.019,
26,0.015,0.971,1.404,0.023,
27,0.017,0.972,1.377,0.019,
28,0.015,0.970,1.421,0.021,
29,0.015,0.964,1.389,0.020,
30,0.016,0.967,1.480,0.030,
31,0.018,0.987,1.484,0.022,
32,0.015,1.063,1.552,0.025,
33,0.015,0.989,1.470,0.021,
34,0.016,0.992,1.601,0.032,
35,0.015,0.978,1.470,0.025,
36,0.016,0.977,1.369,0.022,
1,0.015,0.123,0.265,0.012,
2,0.016,0.148,0.182,0.014,
3,0.014,0.168,0.274,0.021,
4,0.013,0.203,0.230,0.018,
5,0.013,0.210,0.207,0.017,
6,0.014,0.358,0.275,0.019,
7,0.014,0.247,0.197,0.034,
8,0.015,0.443,0.300,0.023,
9,0.014,0.291,0.227,0.030,
10,0.016,0.509,0.435,0.027,
11,0.014,0.514,0.381,0.020,
12,0.016,0.507,0.380,0.028,
13,0.015,0.364,0.198,0.036,
14,0.014,0.611,0.597,0.040,
15,0.014,0.616,0.543,0.034,
16,0.015,0.617,0.525,0.020,
17,0.015,0.739,0.611,0.028,
18,0.016,0.619,0.630,0.024,
19,0.016,0.621,0.597,0.024,
20,0.016,0.616,0.632,0.019,
21,0.015,0.624,0.567,0.034,
22,0.014,0.626,0.514,0.032,
23,0.016,0.627,0.611,0.022,
24,0.014,0.618,0.577,0.023,
25,0.015,0.480,0.346,0.031,
26,0.015,0.974,1.615,0.022,
27,0.015,0.976,1.503,0.023,
28,0.016,0.960,1.506,0.024,
29,0.016,0.977,1.325,0.034,
30,0.015,0.981,1.389,0.031,
31,0.015,0.977,1.495,0.032,
32,0.015,0.976,1.498,0.029,
33,0.015,0.975,1.455,0.032,
34,0.015,0.979,1.309,0.023,
35,0.014,0.971,1.378,0.020,
36,0.016,0.982,1.520,0.023,
1,0.015,0.120,0.266,0.012,
2,0.015,0.147,0.179,0.014,
3,0.013,0.173,0.145,0.014,
4,0.013,0.191,0.124,0.014,
5,0.014,0.209,0.112,0.014,
6,0.014,0.359,0.253,0.035,
7,0.014,0.248,0.229,0.026,
8,0.014,0.446,0.372,0.029,
9,0.014,0.290,0.194,0.020,
10,0.015,0.506,0.433,0.022,
11,0.015,0.513,0.419,0.034,
12,0.015,0.512,0.401,0.035,
13,0.015,0.378,0.234,0.024,
14,0.016,0.607,0.609,0.020,
15,0.015,0.605,0.601,0.020,
16,0.016,0.615,0.467,0.022,
17,0.015,0.619,0.608,0.031,
18,0.016,0.616,0.632,0.022,
19,0.016,0.611,0.624,0.019,
20,0.015,0.615,0.521,0.025,
21,0.016,0.620,0.573,0.019,
22,0.015,0.617,0.556,0.033,
23,0.016,0.619,0.647,0.023,
24,0.015,0.620,0.707,0.033,
25,0.013,0.479,0.356,0.020,
26,0.015,0.962,1.477,0.033,
27,0.015,0.977,1.313,0.022,
28,0.015,0.991,1.463,0.037,
29,0.016,0.970,1.432,0.029,
30,0.015,0.974,1.527,0.031,
31,0.015,0.985,1.375,0.022,
32,0.016,0.970,1.505,0.031,
33,0.016,0.987,1.476,0.018,
34,0.016,0.978,1.732,0.029,
35,0.015,0.980,1.381,0.026,
36,0.015,0.989,1.543,0.022,
1,0.015,0.119,0.264,0.012,
2,0.014,0.148,0.180,0.013,
3,0.014,0.168,0.142,0.014,
4,0.013,0.193,0.241,0.020,
5,0.014,0.208,0.205,0.018,
6,0.014,0.359,0.280,0.033,
7,0.015,0.250,0.191,0.018,
8,0.014,0.440,0.323,0.031,
9,0.014,0.292,0.227,0.031,
10,0.015,0.512,0.458,0.020,
11,0.014,0.504,0.386,0.028,
12,0.015,0.512,0.368,0.018,
13,0.015,0.364,0.232,0.039,
14,0.014,0.621,0.612,0.033,
15,0.015,0.612,0.556,0.033,
16,0.015,0.616,0.590,0.019,
17,0.014,0.617,0.620,0.020,
18,0.015,0.606,0.519,0.022,
19,0.016,0.613,0.531,0.030,
20,0.016,0.619,0.572,0.025,
21,0.015,0.613,0.614,0.031,
22,0.016,0.622,0.601,0.033,
23,0.016,0.631,0.551,0.021,
24,0.016,0.622,0.525,0.033,
25,0.016,0.488,0.330,0.021,
26,0.014,0.965,1.431,0.031,
27,0.017,0.971,1.397,0.021,
28,0.015,0.976,1.471,0.032,
29,0.016,0.981,1.599,0.030,
30,0.016,0.969,1.449,0.021,
31,0.015,0.976,1.396,0.036,
32,0.015,0.987,1.431,0.035,
33,0.015,0.974,1.513,0.019,
34,0.016,0.975,1.400,0.034,
35,0.014,0.975,1.547,0.033,
36,0.016,0.990,1.310,0.035,
1,0.015,0.120,0.266,0.013,
2,0.015,0.149,0.180,0.014,
3,0.014,0.169,0.155,0.015,
4,0.014,0.193,0.241,0.021,
5,0.014,0.208,0.206,0.020,
6,0.015,0.358,0.248,0.017,
7,0.015,0.245,0.190,0.039,
8,0.014,0.442,0.339,0.019,
9,0.015,0.286,0.223,0.026,
10,0.016,0.507,0.481,0.025,
11,0.014,0.504,0.366,0.035,
12,0.014,0.516,0.466,0.021,
13,0.015,0.366,0.213,0.019,
14,0.015,0.609,0.538,0.032,
15,0.015,0.618,0.629,0.022,
16,0.016,0.619,0.578,0.022,
17,0.016,0.625,0.517,0.028,
18,0.017,0.623,0.502,0.030,
19,0.016,0.622,0.523,0.032,
20,0.015,0.629,0.634,0.023,
21,0.015,0.616,0.534,0.030,
22,0.015,0.631,0.632,0.021,
23,0.016,0.620,0.597,0.024,
24,0.016,0.626,0.607,0.032,
25,0.016,0.488,0.294,0.019,
26,0.016,0.976,1.444,0.019,
27,0.016,0.979,1.511,0.033,
28,0.015,0.978,1.573,0.030,
29,0.016,0.981,1.477,0.022,
30,0.016,0.963,1.447,0.033,
31,0.015,0.986,1.387,0.031,
32,0.015,0.979,1.576,0.032,
33,0.015,1.004,1.520,0.033,
34,0.016,0.975,1.362,0.036,
35,0.014,0.989,1.542,0.032,
36,0.015,0.991,1.552,0.028,
1,0.016,0.122,0.264,0.013,
2,0.015,0.148,0.306,0.029,
3,0.015,0.179,0.207,0.019,
4,0.014,0.190,0.178,0.015,
5,0.014,0.214,0.125,0.014,
6,0.014,0.356,0.228,0.019,
7,0.014,0.250,0.179,0.020,
8,0.014,0.455,0.292,0.039,
9,0.016,0.291,0.218,0.032,
10,0.014,0.504,0.346,0.018,
11,0.015,0.507,0.355,0.036,
12,0.015,0.512,0.385,0.029,
13,0.015,0.368,0.194,0.019,
14,0.015,0.622,0.505,0.020,
15,0.014,0.610,0.675,0.023,
16,0.015,0.616,0.581,0.019,
17,0.015,0.615,0.510,0.036,
18,0.016,0.621,0.530,0.021,
19,0.017,0.620,0.455,0.017,
20,0.015,0.615,0.606,0.021,
21,0.015,0.625,0.515,0.034,
22,0.014,0.627,0.575,0.022,
23,0.014,0.619,0.596,0.033,
24,0.014,0.623,0.548,0.029,
25,0.015,0.482,0.369,0.025,
26,0.016,0.974,1.439,0.023,
27,0.016,0.967,1.478,0.035,
28,0.015,0.983,1.424,0.021,
29,0.015,0.976,1.594,0.032,
30,0.015,0.978,1.315,0.022,
31,0.015,0.976,1.563,0.020,
32,0.015,0.960,1.339,0.022,
33,0.016,0.985,1.528,0.022,
34,0.016,0.972,1.463,0.032,
35,0.015,0.989,1.417,0.038,
36,0.014,0.993,1.508,0.036,
1,0.016,0.121,0.268,0.013,
2,0.015,0.149,0.285,0.023,
3,0.014,0.173,0.267,0.034,
4,0.014,0.195,0.239,0.030,
5,0.014,0.214,0.212,0.029,
6,0.014,0.366,0.256,0.019,
7,0.014,0.248,0.227,0.020,
8,0.015,0.451,0.322,0.029,
9,0.015,0.288,0.210,0.020,
10,0.015,0.505,0.391,0.019,
11,0.015,0.515,0.432,0.034,
12,0.015,0.519,0.422,0.021,
13,0.015,0.369,0.232,0.023,
14,0.015,0.609,0.526,0.032,
15,0.015,0.614,0.496,0.021,
16,0.015,0.619,0.611,0.033,
17,0.016,0.614,0.688,0.021,
18,0.014,0.614,0.573,0.019,
19,0.015,0.620,0.561,0.023,
20,0.015,0.613,0.639,0.022,
21,0.014,0.613,0.552,0.032,
22,0.015,0.627,0.529,0.033,
23,0.016,0.640,0.636,0.022,
24,0.015,0.626,0.622,0.031,
25,0.015,0.483,0.326,0.019,
26,0.016,0.961,1.396,0.023,
27,0.016,0.975,1.268,0.033,
28,0.015,0.983,1.506,0.035,
29,0.016,0.981,1.540,0.020,
30,0.015,0.962,1.304,0.020,
31,0.017,0.972,1.443,0.032,
32,0.017,0.983,1.225,0.033,
33,0.015,0.968,1.352,0.020,
34,0.016,0.987,1.390,0.032,
35,0.014,0.985,1.461,0.022,
36,0.014,0.992,1.297,0.022,
1,0.015,0.119,0.265,0.012,
2,0.014,0.148,0.284,0.023,
3,0.014,0.172,0.278,0.026,
4,0.015,0.190,0.224,0.021,
5,0.014,0.211,0.219,0.031,
6,0.015,0.360,0.232,0.020,
7,0.016,0.246,0.201,0.027,
8,0.015,0.441,0.290,0.026,
9,0.015,0.300,0.216,0.033,
10,0.016,0.508,0.323,0.029,
11,0.015,0.511,0.461,0.035,
12,0.016,0.514,0.480,0.023,
13,0.014,0.367,0.227,0.031,
14,0.016,0.618,0.675,0.018,
15,0.014,0.614,0.578,0.021,
16,0.016,0.611,0.566,0.019,
17,0.015,0.611,0.582,0.033,
18,0.016,0.624,0.690,0.022,
19,0.014,0.616,0.593,0.027,
20,0.016,0.620,0.436,0.035,
21,0.016,0.629,0.567,0.029,
22,0.015,0.624,0.543,0.029,
23,0.016,0.629,0.584,0.030,
24,0.016,0.633,0.619,0.035,
25,0.014,0.491,0.352,0.021,
26,0.016,0.974,1.351,0.020,
27,0.016,0.977,1.542,0.034,
28,0.015,0.979,1.473,0.026,
29,0.017,0.979,1.680,0.023,
30,0.015,0.980,1.648,0.022,
31,0.015,0.979,1.623,0.030,
32,0.016,0.990,1.364,0.025,
33,0.015,1.008,1.570,0.030,
34,0.015,0.974,1.477,0.043,
35,0.022,1.123,1.668,0.034,
36,0.016,0.989,1.646,0.021,
1,0.017,0.120,0.351,0.023,
2,0.015,0.155,0.275,0.014,
3,0.014,0.171,0.268,0.028,
4,0.017,0.290,0.264,0.037,
5,0.015,0.213,0.217,0.028,
6,0.015,0.369,0.246,0.029,
7,0.015,0.262,0.159,0.017,
8,0.014,0.456,0.250,0.019,
9,0.016,0.292,0.211,0.037,
10,0.016,0.518,0.407,0.033,
11,0.014,0.509,0.407,0.021,
12,0.016,0.509,0.352,0.033,
13,0.016,0.384,0.231,0.031,
14,0.015,0.614,0.602,0.024,
15,0.014,0.609,0.590,0.018,
16,0.016,0.621,0.614,0.024,
17,0.016,0.613,0.549,0.026,
18,0.015,0.626,0.611,0.020,
19,0.016,0.620,0.668,0.020,
20,0.014,0.621,0.621,0.034,
21,0.016,0.626,0.581,0.032,
22,0.015,0.622,0.556,0.020,
23,0.015,0.618,0.620,0.021,
24,0.015,0.623,0.618,0.022,
25,0.016,0.481,0.374,0.030,
26,0.018,0.987,1.416,0.024,
27,0.016,0.973,1.388,0.022,
28,0.017,0.989,1.500,0.024,
29,0.016,0.965,1.515,0.024,
30,0.015,0.970,1.279,0.034,
31,0.015,0.988,1.441,0.028,
32,0.014,0.998,1.424,0.035,
33,0.015,0.992,1.501,0.033,
34,0.016,0.972,1.557,0.037,
35,0.015,0.985,1.414,0.022,
36,0.015,0.979,1.461,0.021,
1,0.015,0.119,0.264,0.013,
2,0.015,0.148,0.188,0.014,
3,0.014,0.173,0.148,0.014,
4,0.014,0.190,0.144,0.015,
5,0.014,0.212,0.123,0.015,
6,0.013,0.360,0.256,0.018,
7,0.014,0.247,0.187,0.018,
8,0.014,0.441,0.233,0.027,
9,0.016,0.293,0.168,0.034,
10,0.014,0.522,0.377,0.028,
11,0.014,0.507,0.391,0.022,
12,0.015,0.504,0.412,0.035,
13,0.016,0.368,0.259,0.028,
14,0.015,0.613,0.569,0.023,
15,0.016,0.635,0.504,0.034,
16,0.015,0.611,0.596,0.028,
17,0.015,0.634,0.542,0.037,
18,0.014,0.618,0.608,0.029,
19,0.016,0.630,0.595,0.016,
20,0.014,0.628,0.559,0.029,
21,0.015,0.629,0.571,0.028,
22,0.016,0.627,0.585,0.024,
23,0.016,0.618,0.686,0.023,
24,0.016,0.625,0.564,0.022,
25,0.016,0.481,0.345,0.019,
26,0.015,0.983,1.509,0.017,
27,0.016,0.964,1.296,0.019,
28,0.015,0.987,1.398,0.021,
29,0.016,0.979,1.405,0.036,
30,0.019,1.001,1.486,0.029,
31,0.016,0.970,1.513,0.030,
32,0.015,0.998,1.475,0.024,
33,0.016,0.997,1.437,0.032,
34,0.016,0.984,1.648,0.038,
35,0.017,1.017,1.328,0.028,
36,0.015,0.988,1.543,0.022,
1,0.014,0.120,0.266,0.012,
2,0.015,0.147,0.192,0.014,
3,0.013,0.173,0.204,0.024,
4,0.015,0.194,0.194,0.018,
5,0.015,0.211,0.162,0.018,
6,0.014,0.358,0.222,0.018,
7,0.014,0.248,0.161,0.019,
8,0.015,0.452,0.324,0.031,
9,0.018,0.289,0.190,0.020,
10,0.015,0.526,0.387,0.029,
11,0.015,0.515,0.359,0.031,
12,0.016,0.534,0.384,0.022,
13,0.015,0.373,0.219,0.019,
14,0.014,0.644,0.484,0.035,
15,0.015,0.624,0.521,0.023,
16,0.015,0.619,0.547,0.019,
17,0.016,0.621,0.594,0.019,
18,0.016,0.611,0.582,0.021,
19,0.015,0.623,0.627,0.033,
20,0.014,0.625,0.590,0.022,
21,0.015,0.618,0.649,0.024,
22,0.016,0.626,0.729,0.028,
23,0.014,0.625,0.721,0.022,
24,0.016,0.619,0.613,0.022,
25,0.016,0.494,0.357,0.024,
26,0.014,0.982,1.715,0.029,
27,0.016,0.982,1.535,0.030,
28,0.015,1.151,1.726,0.036,
29,0.017,0.992,1.607,0.036,
30,0.016,0.994,1.461,0.031,
31,0.015,1.000,1.353,0.037,
32,0.016,1.010,1.573,0.029,
33,0.017,1.020,1.522,0.033,
34,0.015,1.006,1.444,0.033,
35,0.015,1.010,1.568,0.019,
36,0.015,1.006,1.430,0.029,
1,0.016,0.121,0.263,0.012,
2,0.015,0.148,0.231,0.022,
3,0.013,0.173,0.255,0.019,
4,0.015,0.191,0.194,0.015,
5,0.013,0.213,0.158,0.032,
6,0.015,0.371,0.210,0.017,
7,0.015,0.256,0.148,0.017,
8,0.014,0.444,0.255,0.030,
9,0.015,0.293,0.180,0.030,
10,0.015,0.515,0.423,0.029,
11,0.014,0.519,0.425,0.046,
12,0.014,0.518,0.501,0.032,
13,0.014,0.374,0.253,0.020,
14,0.016,0.618,0.558,0.019,
15,0.015,0.616,0.492,0.019,
16,0.014,0.612,0.549,0.026,
17,0.018,0.677,0.626,0.022,
18,0.015,0.616,0.569,0.032,
19,0.017,0.631,0.499,0.033,
20,0.016,0.623,0.553,0.033,
21,0.016,0.624,0.548,0.021,
22,0.015,0.622,0.604,0.019,
23,0.016,0.639,0.536,0.033,
24,0.016,0.624,0.605,0.021,
25,0.015,0.489,0.376,0.022,
26,0.015,0.973,1.433,0.028,
27,0.015,0.999,1.360,0.031,
28,0.016,0.988,1.441,0.021,
29,0.016,0.983,1.543,0.025,
30,0.015,0.977,1.786,0.036,
31,0.017,0.990,1.475,0.022,
32,0.015,0.973,1.504,0.026,
33,0.016,0.993,1.521,0.034,
34,0.015,0.981,1.402,0.020,
35,0.016,0.979,1.431,0.026,
36,0.014,0.982,1.293,0.035,
1,0.014,0.121,0.267,0.013,
2,0.015,0.148,0.180,0.014,
3,0.014,0.169,0.272,0.030,
4,0.014,0.197,0.242,0.028,
5,0.014,0.215,0.216,0.030,
6,0.014,0.361,0.239,0.019,
7,0.015,0.247,0.209,0.019,
8,0.015,0.441,0.370,0.034,
9,0.015,0.298,0.229,0.030,
10,0.014,0.511,0.362,0.023,
11,0.015,0.511,0.447,0.032,
12,0.015,0.513,0.456,0.021,
13,0.016,0.370,0.222,0.018,
14,0.014,0.637,0.569,0.030,
