device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2048,2,1,2,56.715,4.33,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2048,4,1,2,57.815,3.684,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4096,1,1,2,56.578,4.402,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4096,2,1,2,56.875,4.314,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8192,1,1,2,56.166,4.169,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,1,1,2,50.928,4.962,0.003,153.13,0.009,3.806
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,2,1,2,65.135,4.723,0.004,135.309,0.007,4.108
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,4,1,2,65.24,3.766,0.004,128.072,0.004,3.243
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,8,1,2,66.091,4.403,0.003,121.327,0.008,3.501
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,16,1,2,60.992,2.883,0.003,121.341,0.008,3.309
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,32,1,2,55.583,2.838,0.003,120.726,0.004,2.922
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,64,1,2,54.487,3.831,0.004,123.769,0.008,3.958
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,128,1,2,61.494,3.808,0.003,128.013,0.008,4.024
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,256,1,2,57.785,3.782,0.004,146.533,0.008,3.977
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,512,1,2,56.813,2.702,0.003,161.494,0.01,3.618
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,1024,1,2,59.628,3.186,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,2048,1,2,57.129,2.584,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,4096,1,2,55.604,2.202,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,8192,1,2,55.448,2.908,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,1,1,2,56.27,3.415,0.003,124.527,0.003,2.664
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,2,1,2,54.175,3.801,0.004,123.391,0.007,3.991
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,4,1,2,59.766,3.839,0.004,119.823,0.008,3.354
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,8,1,2,61.461,2.518,0.004,118.105,0.008,4.087
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,16,1,2,58.151,3.323,0.003,118.772,0.007,3.265
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,32,1,2,61.366,3.867,0.004,127.666,0.008,3.746
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,64,1,2,58.026,3.782,0.003,127.613,0.012,3.723
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,128,1,2,61.648,4.088,0.003,149.595,0.008,3.916
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,256,1,2,61.843,3.681,0.003,174.694,0.009,3.125
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,512,1,2,60.083,2.745,0.004,177.309,0.009,3.885
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,1024,1,2,58.044,3.21,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,2048,1,2,56.716,2.844,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2,4096,1,2,55.426,2.704,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,1,1,2,56.706,2.956,0.004,119.744,0.007,3.627
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,2,1,2,59.449,3.846,0.006,119.279,0.008,3.065
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,4,1,2,61.66,2.594,0.004,118.151,0.008,3.062
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,8,1,2,58.868,2.543,0.004,118.508,0.004,2.903
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,16,1,2,62.416,3.792,0.003,127.013,0.008,5.009
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,32,1,2,58.333,3.866,0.003,129.078,0.008,3.946
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,64,1,2,55.7,4.067,0.004,149.799,0.008,3.975
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,128,1,2,59.003,2.76,0.003,172.841,0.008,3.431
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,256,1,2,59.882,2.594,0.003,179.057,0.007,3.661
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,512,1,2,62.278,3.563,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,1024,1,2,55.871,2.876,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,4,2048,1,2,56.698,2.651,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,1,1,2,56.054,2.714,0.005,115.836,0.008,3.215
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,2,1,2,59.568,3.868,0.019,117.921,0.009,3.148
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,4,1,2,62.309,2.623,0.004,120.078,0.011,3.705
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,8,1,2,57.879,2.629,0.003,123.357,0.007,3.822
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,16,1,2,59.05,3.861,0.004,128.059,0.008,3.74
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,32,1,2,61.685,3.817,0.006,149.48,0.012,3.041
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,64,1,2,54.184,4.324,0.004,174.581,0.011,3.102
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,128,1,2,59.775,2.972,0.003,193.471,0.005,3.08
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,256,1,2,55.117,2.821,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,512,1,2,56.183,2.885,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,1024,1,2,55.452,2.771,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,1,1,2,56.689,2.738,0.004,34.823,0.008,3.938
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,2,1,2,61.59,3.787,0.003,36.323,0.012,3.77
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,4,1,2,58.841,3.737,0.004,33.695,0.008,4.007
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,8,1,2,58.736,4.245,0.003,32.789,0.012,3.476
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,16,1,2,59.112,4.213,0.002,36.005,0.008,3.456
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,32,1,2,57.463,3.275,0.005,53.761,0.008,3.593
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,64,1,2,58.525,3.08,0.003,39.174,0.008,3.389
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,128,1,2,61.311,2.682,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,256,1,2,57.555,2.511,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,512,1,2,56.203,2.815,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,1,1,2,55.881,2.74,0.003,32.34,0.008,3.705
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,2,1,2,59.735,3.846,0.003,33.88,0.009,3.593
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,4,1,2,59.31,3.78,0.002,33.381,0.009,3.372
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,8,1,2,59.428,3.862,0.002,33.734,0.01,3.964
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,16,1,2,58.863,3.8,0.003,37.31,0.013,3.601
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,32,1,2,62.487,3.779,0.002,40.252,0.008,3.8
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,64,1,2,61.921,3.245,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,128,1,2,57.143,2.317,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,256,1,2,55.766,2.183,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,1,1,2,55.728,2.501,0.002,32.733,0.008,3.18
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,2,1,2,60.559,2.825,0.003,33.52,0.008,3.188
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,4,1,2,60.381,3.78,0.004,34.227,0.007,3.384
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,8,1,2,61.963,5.116,0.003,42.132,0.008,5.602
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,16,1,2,57.263,3.793,0.001,45.331,0.013,4.163
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,32,1,2,56.886,4.583,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,64,1,2,59.17,2.72,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,128,1,2,56.781,2.861,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,1,1,2,55.755,3.283,0.003,38.203,0.008,3.548
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,2,1,2,61.999,3.458,0.001,38.788,0.009,3.67
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,4,1,2,57.986,3.568,0.003,45.869,0.008,3.246
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,8,1,2,62.653,3.346,0.003,44.009,0.008,3.657
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,16,1,2,60.844,3.582,0.003,-1,-1,-1
