device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,32,1,64,665.364,44.637,0.003,2253.69,31.724,1.022
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,64,1,64,665.751,44.629,0.003,2232.96,31.015,1.084
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,128,1,64,664.515,44.612,0.003,2207.68,31.522,0.995
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,1,1,64,665.672,44.657,0.003,5017.17,31.548,0.981
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,2,1,64,666.13,44.65,0.003,2602.47,31.594,1.015
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,4,1,64,664.725,44.562,0.003,1491.93,31.707,1.02
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,8,1,64,664.564,44.615,0.003,1455.83,31.567,1.03
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,16,1,64,665.863,44.574,0.003,1391.27,31.854,1.043
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,32,1,64,666.348,44.59,0.004,1376.64,31.598,1.05
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,64,1,64,665.744,44.556,0.003,1342.25,31.614,1.037
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,1,1,64,665.779,44.56,0.003,2625.8,31.579,1.038
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,2,1,64,664.687,44.619,0.003,1403.25,31.74,1.035
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,4,1,64,664.382,44.831,0.003,1117.37,31.587,1.052
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,8,1,64,665.584,44.654,0.004,1071.88,31.585,1.109
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,16,1,64,665.044,44.548,0.004,1066.95,31.559,1.025
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,32,1,64,664.958,44.545,0.003,1059.29,31.557,1.029
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,1,1,64,665.278,44.583,0.003,1826.53,31.547,1.028
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,2,1,64,664.724,44.512,0.003,1133.64,31.702,1.108
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,4,1,64,664.767,44.654,0.003,1075.88,31.605,1.05
