device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.874,134.694,0.002,3.222,5.329,0.641
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,661.054,134.074,0.002,1.976,3.043,0.689
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,652.252,134.525,0.002,1.585,1.726,0.621
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,651.482,134.15,0.002,1.434,1.576,0.566
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,652.04,136.055,0.002,1.533,1.321,0.578
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,651.405,134.418,0.002,1.86,1.304,0.593
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,651.245,134.126,0.002,2.091,1.188,0.581
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,677.926,134.039,0.003,20.169,75.247,0.949
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,664.015,141.653,0.002,12.514,37.826,0.682
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,658.046,134.303,0.002,7.706,19.025,0.651
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.944,134.785,0.002,4.735,9.979,0.642
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.743,134.516,0.002,3.01,5.343,0.653
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.769,134.467,0.002,1.98,2.917,0.64
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,652.753,134.412,0.002,1.608,1.744,0.692
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,651.142,134.306,0.001,1.436,1.457,0.585
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,652.776,134.187,0.002,1.548,1.296,0.59
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,650.765,134.452,0.002,1.746,1.238,0.586
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.816,134.437,0.03,2.09,1.197,0.586
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,674.861,134.018,0.001,20.296,75.051,0.957
