device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,128,1,32,1708.3,1.304,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,1,1,32,1707.91,1.31,0.002,1829.21,0.002,2.121
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,2,1,32,1707.38,1.308,0.002,1264.95,0.002,2.135
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,4,1,32,1706.99,1.307,0.002,1252.28,0.002,2.145
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,8,1,32,1704.29,1.304,0.002,1244.69,0.003,2.126
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,16,1,32,1704.64,1.318,0.001,1261.19,0.002,2.117
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,32,1,32,1707.35,1.316,0.002,1302.5,0.003,2.144
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,64,1,32,1704.38,1.32,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,1,1,32,1707.14,1.327,0.002,1265.31,0.002,2.147
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,2,1,32,1707.02,1.315,0.002,1251.14,0.003,2.122
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,4,1,32,1704.11,1.318,0.002,1245.41,0.003,2.13
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,8,1,32,1706.05,1.309,0.001,1261.31,0.003,2.191
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,16,1,32,1706.77,1.317,0.002,1303.33,0.003,2.131
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,32,1,32,1706.72,1.308,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,1,1,32,1707.35,1.318,0.002,1251.83,0.003,2.116
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,2,1,32,1707.07,1.307,0.002,1245.09,0.003,2.201
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,4,1,32,1709.91,1.325,0.002,1264.43,0.003,2.113
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,8,1,32,1707.28,1.33,0.002,1302.98,0.003,2.118
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,16,1,32,1707.17,1.315,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,1,1,32,1707.54,1.324,0.001,1244.07,0.002,2.126
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,2,1,32,1707.3,1.323,0.002,1260.83,0.002,2.129
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,4,1,32,1707.43,1.305,0.002,1303.52,0.002,2.131
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,8,1,32,1708.01,1.3,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,1,1,32,1705.91,1.318,0.002,1260.54,0.002,2.126
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,2,1,32,1706.61,1.319,0.002,1304.3,0.002,2.125
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,4,1,32,1705.99,1.323,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,512,1,1,32,1707.29,1.307,0.002,1305.3,0.003,2.128
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,512,2,1,32,1708.12,1.326,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1024,1,1,32,1707.07,1.321,0.001,-1,-1,-1
