device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.766,0.006,10.041,0.599,1.062
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.957,0.005,13.539,0.594,1.139
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.969,0.005,4.647,0.614,1.138
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.233,0.005,3.958,0.591,1.08
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.852,0.005,3.115,0.62,1.402
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.259,0.003,5.336,0.441,1.101
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,2.198,0.002,9.717,0.386,1.136
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.599,0.002,14.863,0.386,1.17
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,2.24,0.003,13.132,0.576,1.145
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.64,0.002,12.734,0.391,1.095
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.763,0.002,9.986,0.387,1.097
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.791,0.002,10.418,0.519,1.164
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.618,0.003,7.715,0.444,1.131
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.63,0.003,12.486,0.456,1.121
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.8,0.002,12.285,0.386,0.807
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.828,0.002,9.611,0.464,0.982
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,2.271,0.002,3.892,0.441,0.913
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.033,0.002,3.634,0.403,0.959
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.9,0.002,3.08,0.455,0.915
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.511,0.004,5.078,0.245,1.52
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.783,0.005,13.665,0.282,1.418
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.68,0.004,10.62,0.284,1.574
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.57,0.005,14.457,0.245,1.461
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,2.02,0.004,7.538,0.254,1.467
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,2.084,0.002,12.877,0.219,1.027
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,2.002,0.003,12.424,0.198,0.892
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,2.277,0.002,11.83,0.314,0.911
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.75,0.003,10.645,0.21,0.872
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.86,0.004,18.395,0.264,1.073
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,2.055,0.002,6.34,0.21,0.886
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.657,0.002,4.019,0.215,0.855
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.207,0.004,3.465,0.328,1.125
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.827,0.004,2.959,0.253,0.819
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.369,0.005,5.492,0.6,1.074
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,2.081,0.004,15.798,0.592,1.086
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,2.304,0.005,12.928,0.596,1.147
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,2.287,0.005,10.618,0.597,1.135
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.865,0.005,9.711,0.66,1.125
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,2,0.005,11.331,0.59,1.128
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,2.432,0.005,8.48,0.604,1.142
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.95,0.005,13.506,0.62,1.178
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,2.419,0.005,9.395,0.591,1.152
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.948,0.004,13.526,0.591,1.434
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.905,0.005,10.034,0.584,1.137
