device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FWT,ONE_D,32768,256,1,1,0.485,0.001,0.506,0.343,0.074
Hawaii,FWT,ONE_D,32768,1,1,1,0.393,0.001,2.86,0.255,0.042
Hawaii,FWT,ONE_D,32768,2,1,1,0.293,0.001,1.716,0.201,0.038
Hawaii,FWT,ONE_D,32768,4,1,1,0.418,0.001,1.22,0.209,0.039
Hawaii,FWT,ONE_D,32768,8,1,1,0.422,0.001,0.805,0.256,0.038
Hawaii,FWT,ONE_D,32768,16,1,1,0.33,0.001,0.774,0.208,0.038
Hawaii,FWT,ONE_D,32768,32,1,1,0.427,0.002,0.686,0.205,0.038
Hawaii,FWT,ONE_D,32768,64,1,1,0.426,0.002,0.644,0.207,0.038
Hawaii,FWT,ONE_D,32768,128,1,1,0.402,0.001,0.636,0.21,0.037
Hawaii,FWT,ONE_D,32768,256,1,1,0.402,0.002,0.649,0.233,0.039
Hawaii,FWT,ONE_D,32768,1,1,1,0.571,0.002,2.8,0.304,0.042
Hawaii,FWT,ONE_D,32768,2,1,1,0.404,0.002,2.09,0.286,0.042
Hawaii,FWT,ONE_D,32768,4,1,1,0.43,0.002,1.399,0.276,0.038
Hawaii,FWT,ONE_D,32768,8,1,1,0.415,0.001,0.806,0.23,0.038
Hawaii,FWT,ONE_D,32768,16,1,1,0.369,0.001,0.721,0.28,0.039
Hawaii,FWT,ONE_D,32768,32,1,1,0.398,0.002,0.708,0.404,0.039
Hawaii,FWT,ONE_D,32768,64,1,1,0.388,0.001,0.523,0.385,0.038
Hawaii,FWT,ONE_D,32768,128,1,1,0.366,0.001,0.563,0.318,0.038
Hawaii,FWT,ONE_D,32768,256,1,1,0.414,0.002,0.647,0.357,0.068
Hawaii,FWT,ONE_D,32768,1,1,1,0.532,0.002,3.01,0.26,0.042
Hawaii,FWT,ONE_D,32768,2,1,1,0.434,0.002,1.918,0.283,0.039
Hawaii,FWT,ONE_D,32768,4,1,1,0.312,0.001,1.21,0.203,0.037
Hawaii,FWT,ONE_D,32768,8,1,1,0.379,0.001,0.902,0.222,0.04
Hawaii,FWT,ONE_D,32768,16,1,1,0.312,0.001,0.84,0.21,0.038
Hawaii,FWT,ONE_D,32768,32,1,1,0.342,0.001,0.677,0.358,0.064
Hawaii,FWT,ONE_D,32768,64,1,1,0.407,0.002,0.644,0.209,0.037
Hawaii,FWT,ONE_D,32768,128,1,1,0.364,0,0.485,0.364,0.038
Hawaii,FWT,ONE_D,32768,256,1,1,0.398,0.001,0.632,0.208,0.038
Hawaii,FWT,ONE_D,32768,1,1,1,0.371,0.002,2.879,0.2,0.044
Hawaii,FWT,ONE_D,32768,2,1,1,0.436,0.002,2.253,0.186,0.04
Hawaii,FWT,ONE_D,32768,4,1,1,0.417,0.001,1.153,0.205,0.039
Hawaii,FWT,ONE_D,32768,8,1,1,0.429,0.002,0.982,0.337,0.062
Hawaii,FWT,ONE_D,32768,16,1,1,0.324,0.001,0.601,0.283,0.039
Hawaii,FWT,ONE_D,32768,32,1,1,0.444,0.002,0.684,0.38,0.038
Hawaii,FWT,ONE_D,32768,64,1,1,0.42,0.001,0.552,0.208,0.037
