device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2,1,1,391,2655.33,401.014,0.013,2.423,0.017,3.964
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4,1,1,391,2628.93,390.596,0.011,1.612,0.015,4.931
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8,1,1,391,2631.36,390.671,0.008,1.017,0.012,3.449
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,16,1,1,391,2675.76,390.118,0.008,1.028,0.015,3.521
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,32,1,1,391,2631.55,389.82,0.009,0.526,0.01,3.48
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,64,1,1,391,2632.21,389.841,0.007,0.695,0.206,3.553
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,128,1,1,391,2627.65,388.878,0.008,0.82,0.01,3.586
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,256,1,1,391,2627.85,389.776,0.008,0.508,0.01,3.443
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,512,1,1,391,2628.33,389.532,0.009,0.317,0.011,3.664
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,1024,1,1,391,2632.51,389.596,0.008,0.245,0.009,3.62
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2048,1,1,391,2635.79,397.613,0.009,0.274,0.018,3.654
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4096,1,1,391,2636.48,389.542,0.008,0.234,0.012,3.573
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8192,1,1,391,2631.41,389.592,0.007,0.261,0.012,3.493
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,1,1,1,391,2627.79,390.637,0.011,3.735,0.006,4.12
