-------------------------Client: 1-------------------------
kernel,width,height,nSteps,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
FloydWarshall,2048,2048,1024,1,1,5.833,0.001,673.482,8.907,0.564,
kernel,nElements,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
FWT,32768,1,1,1,0.086,0,1.098,0.086,0.014,
FWT,32768,2,1,1,0.084,0.001,0.609,0.085,0.012,
FWT,32768,4,1,1,0.082,0.001,0.364,0.082,0.013,
FWT,32768,8,1,1,0.083,0,0.557,0.089,0.013,
FWT,32768,16,1,1,0.083,0,0.185,0.083,0.012,
FWT,32768,32,1,1,0.085,0,0.182,0.081,0.012,
FWT,32768,64,1,1,0.083,0,0.187,0.081,0.012,
FWT,32768,128,1,1,0.083,0.001,0.646,0.085,0.013,
FWT,32768,256,1,1,0.083,0.001,0.429,0.084,0.012,
FWT,32768,512,1,1,0.083,0,0.185,0.093,0.012,
FWT,32768,1024,1,1,0.087,0,0.187,0.083,0.012,
kernel,nBodies,timeStep,nSteps,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
NBody,8192,0.005,100,1,1,1,1.363,0.001,9854.67,0,0.099,
NBody,8192,0.005,100,2,1,1,0.802,0,4998.04,0.001,0.102,
NBody,8192,0.005,100,4,1,1,0.767,0.001,2626.87,0,0.099,
NBody,8192,0.005,100,8,1,1,0.75,0,1347.27,0,0.097,
NBody,8192,0.005,100,16,1,1,0.834,0.001,790.367,0.001,0.1,
NBody,8192,0.005,100,32,1,1,0.742,0.001,541.879,0,0.1,
NBody,8192,0.005,100,64,1,1,0.73,0,272.274,0,0.1,
NBody,8192,0.005,100,128,1,1,0.73,0.001,271.193,0,0.098,
NBody,8192,0.005,100,256,1,1,0.773,0.001,275.176,0,0.1,
NBody,8192,0.005,100,512,1,1,0.732,0.001,283.861,0,0.098,
NBody,8192,0.005,100,1024,1,1,0.729,0.001,294.793,0,0.106,
kernel,nElements,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
VectorAdd,262144,1,1,1,1.129,0.001,1.143,0.52,0.201,
VectorAdd,262144,2,1,1,1.11,0.001,0.632,0.511,0.2,
VectorAdd,262144,4,1,1,1.11,0,0.379,0.512,0.209,
VectorAdd,262144,8,1,1,1.111,0.001,0.249,0.522,0.2,
VectorAdd,262144,16,1,1,1.109,0.001,0.19,0.521,0.199,
VectorAdd,262144,32,1,1,1.124,0.001,0.161,0.518,0.199,
VectorAdd,262144,64,1,1,1.109,0.001,0.143,0.523,0.199,
VectorAdd,262144,128,1,1,1.11,0.001,0.144,0.52,0.203,
VectorAdd,262144,256,1,1,1.124,0,0.142,0.523,0.2,
VectorAdd,262144,512,1,1,1.106,0.001,0.142,0.519,0.199,
VectorAdd,262144,1024,1,1,1.105,0,0.141,0.522,0.199,
kernel,nElements,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
SquareArray,262144,1,1,1,0.614,0,0.999,0.453,0.151,
SquareArray,262144,2,1,1,0.619,0.001,0.559,0.546,0.14,
SquareArray,262144,4,1,1,0.618,0,0.342,0.551,0.14,
SquareArray,262144,8,1,1,0.621,0,0.233,0.544,0.14,
SquareArray,262144,16,1,1,0.631,0.001,0.182,0.542,0.14,
SquareArray,262144,32,1,1,0.623,0.001,0.157,0.541,0.148,
SquareArray,262144,64,1,1,0.612,0,0.138,0.547,0.14,
SquareArray,262144,128,1,1,0.625,0,0.138,0.553,0.148,
SquareArray,262144,256,1,1,0.614,0,0.135,0.551,0.139,
SquareArray,262144,512,1,1,0.628,0,0.134,0.55,0.141,
SquareArray,262144,1024,1,1,0.628,0,0.14,0.544,0.14,
kernel,N,P,M,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
MatrixMultiplication,2048,4096,1024,1,1,1,17.288,0.002,9198.63,3.269,0.588,
MatrixMultiplication,2048,4096,1024,1,2,1,17.233,0.003,4711.25,3.223,0.602,
MatrixMultiplication,2048,4096,1024,1,4,1,17.204,0.003,2573.84,3.233,0.593,
MatrixMultiplication,2048,4096,1024,1,8,1,17.255,0.003,2049.26,3.245,0.593,
MatrixMultiplication,2048,4096,1024,1,16,1,17.201,0.003,1901.22,3.25,0.608,
MatrixMultiplication,2048,4096,1024,1,32,1,17.252,0.003,1822.78,3.242,0.598,
MatrixMultiplication,2048,4096,1024,1,64,1,17.245,0.003,1817.06,3.231,0.595,
MatrixMultiplication,2048,4096,1024,1,128,1,17.231,0.003,1831.89,3.268,0.603,
MatrixMultiplication,2048,4096,1024,1,256,1,17.21,0.003,1841.44,3.235,0.593,
MatrixMultiplication,2048,4096,1024,1,512,1,17.216,0.003,1861.92,3.226,0.592,
MatrixMultiplication,2048,4096,1024,1,1024,1,19.061,0.003,2050.61,3.232,0.609,
MatrixMultiplication,2048,4096,1024,2,1,1,17.251,0.002,4694.78,3.239,0.61,
MatrixMultiplication,2048,4096,1024,2,2,1,17.232,0.002,2361.79,3.234,0.6,
MatrixMultiplication,2048,4096,1024,2,4,1,17.257,0.003,1294.44,3.234,0.598,
MatrixMultiplication,2048,4096,1024,2,8,1,17.204,0.003,1029.25,3.239,0.602,
MatrixMultiplication,2048,4096,1024,2,16,1,17.265,0.004,953.354,3.232,0.626,
MatrixMultiplication,2048,4096,1024,2,32,1,17.261,0.003,939.479,3.228,0.611,
MatrixMultiplication,2048,4096,1024,2,64,1,17.224,0.003,948.515,3.268,0.621,
MatrixMultiplication,2048,4096,1024,2,128,1,17.275,0.003,949.738,3.233,0.604,
MatrixMultiplication,2048,4096,1024,2,256,1,17.24,0.002,949.249,3.239,0.599,
MatrixMultiplication,2048,4096,1024,2,512,1,17.266,0.002,943.207,3.226,0.604,
MatrixMultiplication,2048,4096,1024,4,1,1,17.204,0.002,2373.78,3.221,0.623,
MatrixMultiplication,2048,4096,1024,4,2,1,17.222,0.003,1204.28,3.231,0.608,
MatrixMultiplication,2048,4096,1024,4,4,1,17.252,0.003,665.969,3.235,0.613,
MatrixMultiplication,2048,4096,1024,4,8,1,17.209,0.003,519.523,3.227,0.604,
MatrixMultiplication,2048,4096,1024,4,16,1,17.206,0.002,498.324,3.229,0.598,
MatrixMultiplication,2048,4096,1024,4,32,1,17.225,0.003,505.369,3.231,0.595,
MatrixMultiplication,2048,4096,1024,4,64,1,17.229,0.002,499.688,3.223,0.605,
MatrixMultiplication,2048,4096,1024,4,128,1,17.321,0.002,496.515,3.229,0.603,
MatrixMultiplication,2048,4096,1024,4,256,1,17.217,0.003,497.978,3.228,0.6,
MatrixMultiplication,2048,4096,1024,8,1,1,17.319,0.002,1180.98,3.231,0.604,
MatrixMultiplication,2048,4096,1024,8,2,1,17.264,0.003,601.468,3.219,0.601,
MatrixMultiplication,2048,4096,1024,8,4,1,17.195,0.002,334.471,3.227,0.599,
MatrixMultiplication,2048,4096,1024,8,8,1,17.203,0.003,282.873,3.229,0.607,
MatrixMultiplication,2048,4096,1024,8,16,1,17.243,0.002,289.553,3.236,0.604,
MatrixMultiplication,2048,4096,1024,8,32,1,17.213,0.003,282.582,3.224,0.599,
MatrixMultiplication,2048,4096,1024,8,64,1,17.237,0.002,280.665,3.23,0.611,
MatrixMultiplication,2048,4096,1024,8,128,1,17.219,0.003,279.025,3.228,0.603,
MatrixMultiplication,2048,4096,1024,16,1,1,17.211,0.003,589.982,3.23,0.607,
MatrixMultiplication,2048,4096,1024,16,2,1,17.222,0.002,297.511,3.287,0.614,
MatrixMultiplication,2048,4096,1024,16,4,1,17.249,0.003,174.159,3.235,0.602,
MatrixMultiplication,2048,4096,1024,16,8,1,17.238,0.003,181.985,3.231,0.607,
MatrixMultiplication,2048,4096,1024,16,16,1,17.18,0.003,174.706,3.232,0.609,
MatrixMultiplication,2048,4096,1024,16,32,1,17.242,0.003,172.664,3.231,0.614,
MatrixMultiplication,2048,4096,1024,16,64,1,17.252,0.003,169.976,3.219,0.604,
MatrixMultiplication,2048,4096,1024,32,1,1,17.246,0.003,297.734,3.226,0.602,
MatrixMultiplication,2048,4096,1024,32,2,1,17.261,0.004,158.187,3.225,0.616,
MatrixMultiplication,2048,4096,1024,32,4,1,17.259,0.002,139.561,3.258,0.622,
MatrixMultiplication,2048,4096,1024,32,8,1,17.262,0.003,134.902,3.242,0.613,
MatrixMultiplication,2048,4096,1024,32,16,1,17.255,0.003,134.584,3.231,0.601,
MatrixMultiplication,2048,4096,1024,32,32,1,17.324,0.003,133.761,3.241,0.607,
MatrixMultiplication,2048,4096,1024,64,1,1,17.227,0.003,157.435,3.224,0.606,
MatrixMultiplication,2048,4096,1024,64,2,1,17.206,0.003,141.28,3.229,0.606,
MatrixMultiplication,2048,4096,1024,64,4,1,17.469,0.003,134.899,3.235,0.607,
MatrixMultiplication,2048,4096,1024,64,8,1,17.24,0.002,134.53,3.239,0.614,
MatrixMultiplication,2048,4096,1024,64,16,1,17.224,0.002,134.534,3.238,0.614,
MatrixMultiplication,2048,4096,1024,128,1,1,17.229,0.002,185.954,3.225,0.603,
MatrixMultiplication,2048,4096,1024,128,2,1,17.25,0.003,138.247,3.231,0.599,
MatrixMultiplication,2048,4096,1024,128,4,1,17.472,0.002,134.45,3.225,0.604,
MatrixMultiplication,2048,4096,1024,128,8,1,17.232,0.003,133.663,3.233,0.605,
MatrixMultiplication,2048,4096,1024,256,1,1,17.266,0.002,185.265,3.253,0.603,
MatrixMultiplication,2048,4096,1024,256,2,1,17.275,0.003,138.16,3.229,0.601,
MatrixMultiplication,2048,4096,1024,256,4,1,17.265,0.003,133.925,3.222,0.607,
MatrixMultiplication,2048,4096,1024,512,1,1,17.313,0.002,161.432,3.23,0.616,
MatrixMultiplication,2048,4096,1024,512,2,1,17.226,0.003,137.601,3.245,0.614,
MatrixMultiplication,2048,4096,1024,1024,1,1,17.266,0.003,144.479,3.226,0.599,
kernel,ImageHeight,ImageWidth,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
RotateImage,2048,2048,1,1,1,5.488,0.001,16.574,8.638,111.987,
RotateImage,2048,2048,1,2,1,5.554,0.001,9.225,9.038,112.306,
RotateImage,2048,2048,1,4,1,5.557,0.002,5.361,9.053,111.766,
RotateImage,2048,2048,1,8,1,5.671,0.001,3.22,8.732,112.054,
RotateImage,2048,2048,1,16,1,5.553,0.002,2.172,9.016,111.917,
RotateImage,2048,2048,1,32,1,5.551,0.001,1.712,9.06,111.892,
RotateImage,2048,2048,1,64,1,5.56,0.002,1.546,9.06,111.957,
RotateImage,2048,2048,1,128,1,5.552,0.002,1.522,8.697,117.381,
