device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.54,0.001,17219.1,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.83,0.001,8704.33,0.001,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.775,0,4607.1,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.752,0.001,2356.56,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.751,0,1376.03,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.751,0.001,948.181,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.746,0.001,476.072,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.745,0,475.525,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.754,0.001,480.531,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.752,0.001,508.262,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.74,0.001,522.476,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.523,0.001,9848.65,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.856,0.001,4997.01,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.784,0.001,2624.99,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.781,0.001,1345.26,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.781,0,790.104,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.777,0.001,541.723,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.773,0,271.937,0.001,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.779,0.001,270.954,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.781,0.001,275.04,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.809,0.001,283.703,0,0.103
