device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.126,0.001,0.179,0.081,0.012
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.127,0,0.419,0.092,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.127,0,0.429,0.083,0.014
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.128,0,0.408,0.085,0.013
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.132,0.001,1.341,0.091,0.014
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.13,0.001,0.887,0.088,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.13,0.001,0.635,0.092,0.013
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.125,0,0.236,0.085,0.013
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.127,0.001,0.187,0.096,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.128,0,0.181,0.085,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.128,0,0.182,0.086,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.127,0.001,0.418,0.087,0.013
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.128,0.001,0.181,0.089,0.013
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.128,0.001,0.406,0.09,0.013
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.125,0,0.445,0.088,0.015
