device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.088,0.001,1.395,0.559,0.229
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.84,0.001,0.887,0.565,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.848,0,0.732,0.556,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.834,0,0.573,0.544,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.835,0,0.513,0.546,0.207
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.832,0,0.478,0.559,0.207
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.827,0,0.369,0.549,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.834,0.001,0.36,0.561,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.832,0.001,0.363,0.55,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.836,0.001,0.362,0.551,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.842,0.001,0.363,0.546,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.017,0.002,1.436,0.561,0.254
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.863,0.001,0.848,0.559,0.22
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.865,0.001,0.572,0.558,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.887,0.001,0.479,0.58,0.207
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.838,0,0.393,0.553,0.211
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.846,0.001,0.36,0.559,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.837,0.001,0.346,0.553,0.21
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.855,0.001,0.392,0.555,0.201
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.858,0.001,0.508,0.568,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.857,0,0.446,0.551,0.223
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.854,0.001,0.442,0.555,0.202
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.222,0.001,1.339,0.926,0.208
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.104,0.001,0.866,0.888,0.188
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.1,0,0.69,0.876,0.185
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.101,0.001,0.537,0.86,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.1,0.001,0.478,0.866,0.196
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.131,0.001,0.348,0.871,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.13,0.001,0.357,0.871,0.182
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.5,0,0.4,0.879,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.094,0.001,0.336,0.869,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.098,0,0.33,0.866,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.09,0,0.432,0.869,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.22,0.003,1.338,0.978,0.211
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.116,0.001,0.816,0.923,0.187
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.103,0.001,0.586,0.919,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.107,0,0.443,0.918,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.132,0,0.4,0.918,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.111,0,0.535,0.918,0.193
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.104,0.001,0.435,0.921,0.194
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.107,0.001,0.454,0.915,0.191
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.099,0.001,0.332,0.916,0.19
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.102,0,0.33,0.921,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.112,0.001,0.356,0.923,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.392,0.003,1.35,0.97,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.107,0.001,0.844,0.924,0.186
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.104,0.001,0.615,0.915,0.186
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.099,0.001,0.571,0.915,0.182
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.105,0.001,0.506,0.935,0.203
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.101,0,0.374,0.932,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.097,0.001,0.335,0.92,0.182
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.097,0.001,0.331,0.909,0.192
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.105,0.001,0.355,0.917,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.1,0,0.333,0.92,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.105,0.001,0.383,0.919,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.196,0.001,1.342,0.987,0.211
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.093,0.001,0.818,0.94,0.187
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.092,0.001,0.588,0.923,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.094,0,0.444,0.946,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.132,0.001,0.59,0.923,0.184
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.093,0.001,0.476,0.928,0.195
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.097,0.001,0.435,0.922,0.196
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.092,0.001,0.354,0.923,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.094,0.001,0.338,0.926,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.114,0.001,0.335,0.921,0.186
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.092,0.001,0.353,0.92,0.187
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.11,0.001,1.349,0.566,0.229
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.843,0.001,0.822,0.565,0.201
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.862,0.001,0.57,0.557,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.842,0,0.471,0.569,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.849,0.001,0.436,0.556,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.85,0.001,0.409,0.564,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.834,0.001,0.47,0.556,0.213
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.857,0.001,0.458,0.56,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.852,0.001,0.469,0.561,0.207
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.833,0.001,0.341,0.559,0.211
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.85,0.001,0.34,0.565,0.197
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.015,0,1.45,0.962,0.237
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.853,0,0.949,0.949,0.213
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.846,0,0.695,0.944,0.205
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.858,0.001,0.447,0.941,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.847,0.001,0.389,0.95,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.85,0.001,0.357,0.957,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.85,0.001,0.342,0.954,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.861,0.001,0.34,0.956,0.201
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.837,0.001,0.358,0.961,0.202
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.849,0,0.364,0.954,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.837,0.001,0.414,0.964,0.2
