device/C,kernel/C,workDimension/C,width/F,height/F,maskWidth/F,maskHeight/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.443,0,83.216,1.037,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.625,0.001,82.362,1.04,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.478,0.001,5257.69,1.077,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.575,0.001,2640.8,1.072,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.497,0.001,1332.22,1.074,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.641,0,677.023,1.071,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.467,0.001,347.922,1.07,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.478,0,181.797,1.066,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.473,0,101.6,1.073,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.539,0.001,83.969,1.069,0.15
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.505,0.001,83.76,1.07,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.572,0.001,83.184,1.073,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.477,0.001,82.314,1.065,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.448,0.001,5257.71,1.253,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.479,0.001,2640.78,1.267,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.463,0,1332.24,1.25,0.161
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.478,0.001,677.025,1.247,0.161
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.544,0,347.897,1.253,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.398,0.001,181.797,1.249,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.461,0,101.569,1.25,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.454,0.001,83.987,1.248,0.158
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.464,0.001,83.816,1.245,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.454,0,82.943,1.261,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.481,0.001,82.324,1.246,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.589,0,5257.69,1.993,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.557,0.001,2640.79,1.901,0.159
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.666,0.001,1332.19,1.894,0.159
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.601,0.001,677.026,1.899,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.599,0,347.912,1.902,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.573,0.001,181.812,1.901,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.604,0.001,101.576,1.899,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.63,0.001,84.048,1.906,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.555,0.001,83.821,1.9,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.771,0,82.984,1.922,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.533,0.001,82.349,1.905,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.699,0,5257.69,1.978,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.596,0,2640.77,1.937,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.583,0,1332.24,1.939,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.61,0,677.037,1.928,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.611,0.001,347.914,1.962,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.607,0.001,181.793,1.926,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.656,0,101.575,1.932,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.688,0.001,83.959,1.928,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.617,0.001,83.773,1.934,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.668,0,82.972,1.923,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.617,0.001,82.37,1.93,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.426,0,5257.69,1.27,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.44,0.001,2640.76,1.26,0.164
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.43,0.001,1332.22,1.265,0.157
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.468,0,677.02,1.258,0.157
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.51,0,347.921,1.261,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.443,0.001,181.796,1.253,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.546,0.001,101.543,1.263,0.175
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.46,0.001,84.06,1.264,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.415,0,83.792,1.274,0.169
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.536,0.001,82.98,1.269,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.435,0.001,82.324,1.256,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.561,0.001,5257.73,2.117,0.15
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.604,0.001,2640.8,1.907,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.563,0.001,1332.21,1.897,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.641,0.001,677.018,1.9,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.768,0,347.913,1.901,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.638,0.001,181.784,1.901,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.723,0,101.581,1.9,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.561,0,83.949,1.895,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.632,0,83.756,1.894,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.56,0,83.199,1.894,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.726,0,82.338,1.89,0.15
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.67,0.001,5257.72,2.268,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.565,0,2640.79,1.949,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.55,0.001,1332.22,1.942,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.634,0,677.044,1.934,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.69,0,347.911,1.93,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.773,0,181.797,1.934,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.784,0,101.569,1.969,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.582,0,83.918,1.933,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.601,0.001,83.781,1.931,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.582,0,83.185,1.923,0.165
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.617,0,82.364,1.936,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.469,0,5257.68,1.163,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.436,0.001,2640.76,1.159,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.54,0.001,1332.22,1.15,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.379,0.001,677.025,1.16,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.342,0.001,347.892,1.163,0.159
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.44,0.001,181.809,1.157,0.157
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.469,0,101.544,1.16,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.387,0.001,83.985,1.155,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.425,0.001,83.761,1.156,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.475,0,83.249,1.156,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.35,0.001,82.314,1.154,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.558,0.001,5257.67,1.316,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.423,0,2640.79,1.293,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.698,0.001,1332.24,1.299,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.419,0,677.019,1.297,0.164
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.448,0,347.907,1.308,0.158
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.549,0.001,181.791,1.294,0.158
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.52,0.001,101.58,1.295,0.157
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.533,0.001,83.956,1.299,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.447,0.001,83.817,1.339,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.464,0.001,83.243,1.298,0.165
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.562,0,82.3,1.298,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.494,0,5257.7,1.095,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.495,0.001,2640.77,1.082,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.526,0.001,1332.25,1.086,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.602,0.001,677.029,1.086,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.458,0,347.919,1.081,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.459,0.001,181.798,1.083,0.145
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.486,0,101.585,1.083,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.582,0.001,84.013,1.085,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.463,0,83.819,1.08,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.588,0.001,82.976,1.078,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.496,0.001,82.349,1.08,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.49,0,5257.71,1.093,0.159
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.657,0.001,2640.78,1.086,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.535,0.001,1332.24,1.079,0.158
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.475,0,677.022,1.082,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.486,0.001,347.914,1.082,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.465,0,181.795,1.086,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.47,0,101.596,1.085,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.545,0,84.021,1.115,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.473,0.001,83.846,1.081,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.718,0.001,83.245,1.128,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.468,0.001,82.327,1.083,0.159
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.552,0.001,5257.71,1.065,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.449,0,2640.76,1.055,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.487,0.001,1332.22,1.051,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.536,0.001,677.037,1.052,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.585,0.001,347.897,1.049,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.576,0.001,181.794,1.051,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.548,0,101.534,1.045,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.443,0.001,84.004,1.059,0.139
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.563,0,83.721,1.046,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.468,0,83.204,1.047,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.473,0.001,82.356,1.048,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.63,0,5257.69,1.084,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.512,0.001,2640.76,1.081,0.168
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.485,0,1332.23,1.075,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.575,0,677.036,1.069,0.15
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.715,0.001,347.883,1.082,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.563,0,181.797,1.078,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.588,0.001,101.54,1.075,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.472,0.001,84.009,1.072,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.57,0,83.742,1.075,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.542,0.001,83.209,1.077,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.505,0.001,82.335,1.072,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.511,0.001,5257.69,1.337,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.389,0.001,2640.78,1.265,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.432,0,1332.23,1.258,0.166
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.533,0,677.013,1.268,0.165
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.488,0,347.896,1.254,0.156
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.533,0.001,181.8,1.254,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.459,0.001,101.616,1.256,0.161
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.52,0,83.957,1.261,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.408,0.001,83.777,1.251,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.461,0,83.217,1.256,0.162
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.482,0.001,82.353,1.254,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.407,0,5257.67,1.289,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.337,0,2640.78,1.245,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.365,0.001,1332.22,1.247,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.348,0.001,677.019,1.258,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.34,0.001,347.891,1.243,0.163
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.473,0.001,181.797,1.245,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.499,0.001,101.592,1.244,0.162
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.431,0.001,83.986,1.258,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.332,0.001,83.785,1.249,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.454,0,82.983,1.241,0.153
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.579,0.001,82.346,1.244,0.158
