device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,256,1,35.459,0.002,400.296,35.431,0.652
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,512,1,35.505,0.003,481.489,35.289,0.674
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,1,1,35.41,0.003,2189.65,35.056,0.654
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,2,1,35.552,0.003,1482.91,35.041,0.644
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,4,1,35.535,0.003,1047.43,35.375,0.645
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,8,1,35.412,0.002,810.327,35.334,0.644
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,16,1,35.455,0.002,773.785,35.264,0.644
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,32,1,35.527,0.003,713.679,35.249,0.686
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,64,1,35.6,0.003,646.572,35.325,0.622
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,128,1,35.38,0.003,400.246,35.291,0.64
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,256,1,35.652,0.003,481.757,35.245,0.626
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,1,1,35.46,0.002,1482.94,35.301,0.642
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,2,1,35.399,0.002,1047.66,35.325,0.638
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,4,1,35.313,0.002,810.436,35.304,0.626
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,8,1,35.503,0.003,773.818,35.213,0.63
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,16,1,35.598,0.002,713.693,35.284,0.654
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,32,1,35.443,0.002,646.909,35.35,0.627
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,64,1,35.39,0.003,400.263,35.259,0.631
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,128,1,35.553,0.002,481.771,35.33,0.635
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,1,1,35.494,0.003,1047.58,35.376,0.624
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,2,1,35.48,0.002,810.637,35.226,0.647
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,4,1,35.487,0.004,773.792,35.336,0.636
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,8,1,35.484,0.003,713.67,35.314,0.647
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,16,1,35.387,0.002,646.68,35.25,0.639
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,32,1,35.384,0.002,400.501,35.26,0.652
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,64,1,35.385,0.002,481.731,35.246,0.64
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,1,1,35.571,0.003,810.719,35.284,0.636
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,2,1,35.412,0.002,773.821,35.312,0.636
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,4,1,35.615,0.002,713.597,35.261,0.644
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,8,1,35.459,0.003,646.725,35.311,0.646
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,16,1,35.483,0.002,400.409,35.345,0.641
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,32,1,51.963,0.003,475.247,35.817,0.771
