nThreads,memcpyOut,plan,execu,memcpyIn
25,0.667,8.223,1.695,0.807,
26,0.667,8.543,1.228,0.824,
27,0.673,8.500,1.327,0.835,
28,0.659,8.504,1.433,0.826,
29,0.662,8.514,1.348,0.827,
30,0.668,8.503,1.283,0.822,
31,0.660,8.521,1.422,1.047,
32,0.973,9.049,1.099,0.783,
33,0.697,8.492,1.112,1.053,
34,0.991,12.240,1.364,1.033,
35,0.961,14.296,1.088,0.797,
36,0.681,8.517,1.176,0.804,
37,0.669,8.517,1.258,1.049,
38,0.987,9.244,1.260,0.800,
39,0.674,8.527,1.425,0.826,
40,0.686,8.507,1.343,0.816,
41,0.678,8.518,1.405,0.819,
42,0.677,8.520,1.295,0.825,
43,0.681,8.507,1.300,0.817,
44,0.691,8.513,1.356,0.795,
45,0.684,8.518,1.218,0.804,
46,0.689,8.516,1.145,0.826,
47,0.691,8.518,1.353,0.834,
48,0.696,8.524,1.555,0.821,
1,0.683,4.210,3.857,0.722,
2,0.709,7.077,5.222,0.785,
3,0.670,9.678,2.017,0.725,
4,0.690,7.451,2.504,0.777,
5,0.684,7.713,2.402,0.838,
6,0.665,8.149,2.996,0.828,
7,0.711,8.971,2.754,0.894,
8,0.762,9.390,2.576,0.828,
9,0.670,8.244,1.638,0.811,
10,0.718,8.645,1.689,0.826,
11,0.694,8.559,1.749,0.856,
12,0.684,8.576,1.695,0.828,
13,0.658,7.880,1.724,0.804,
14,0.665,7.850,1.783,0.818,
15,0.673,7.863,1.659,0.823,
16,0.687,7.876,1.756,0.825,
17,0.697,7.866,1.552,0.796,
18,0.693,7.872,1.627,0.830,
19,0.688,7.874,1.520,0.834,
20,0.696,7.877,1.526,0.841,
21,0.694,8.259,1.642,0.829,
22,0.662,8.234,1.685,0.819,
23,0.687,8.255,1.823,0.810,
24,0.664,8.258,1.534,0.791,
25,0.696,8.221,1.689,0.841,
26,0.682,8.539,1.301,0.817,
27,0.691,8.481,1.237,0.797,
28,0.690,8.505,1.146,0.819,
29,0.698,8.492,1.273,0.825,
30,0.670,8.510,1.206,0.823,
31,0.666,8.529,1.197,0.827,
32,0.676,8.509,1.119,0.798,
33,0.677,8.502,1.410,1.018,
34,0.788,8.516,1.098,0.800,
35,0.669,8.545,1.172,0.833,
36,0.667,8.520,1.035,0.806,
37,0.665,8.505,1.176,0.780,
38,0.693,8.527,1.321,0.821,
39,0.674,8.510,1.263,0.809,
40,0.692,8.509,1.404,1.034,
41,0.986,13.203,1.240,1.039,
42,0.993,9.876,1.109,0.826,
43,0.690,8.516,1.302,0.826,
44,0.677,8.527,1.180,0.833,
45,0.697,8.537,1.323,1.030,
46,0.978,11.036,1.137,0.796,
47,0.674,8.539,1.277,1.040,
48,0.839,8.533,1.247,0.821,
1,0.673,4.212,3.909,0.713,
2,0.709,7.060,2.956,0.731,
3,0.709,7.459,1.490,0.773,
4,0.722,7.727,1.283,0.732,
5,0.705,7.596,2.499,0.784,
6,0.693,7.931,2.317,0.802,
7,0.733,8.602,2.236,0.810,
8,0.753,9.159,2.146,0.833,
9,0.785,9.481,1.378,0.804,
10,0.763,9.472,1.330,0.797,
11,0.749,8.193,1.628,0.784,
12,0.689,7.855,1.798,0.818,
13,0.697,7.836,1.691,0.822,
14,0.700,7.852,1.620,0.801,
15,0.701,7.889,1.826,0.815,
16,0.688,7.855,1.799,0.798,
17,0.702,7.857,1.601,0.773,
18,0.724,7.891,1.718,0.789,
19,0.713,7.892,1.551,0.779,
20,0.708,7.883,1.405,0.782,
21,0.709,8.247,1.851,0.853,
22,0.633,8.211,1.586,0.804,
23,0.681,8.244,1.756,0.830,
24,0.660,8.254,1.607,0.798,
25,0.661,8.232,1.587,0.835,
26,0.658,8.535,1.457,0.807,
27,0.683,8.494,1.324,0.823,
28,0.666,8.505,1.258,0.816,
29,0.677,8.496,1.452,1.040,
30,0.957,11.685,1.101,0.804,
31,0.682,8.515,1.217,0.806,
32,0.678,8.515,1.270,1.003,
33,0.678,8.502,1.169,0.820,
34,0.678,8.509,1.364,1.035,
35,0.987,11.313,1.157,0.794,
36,0.681,8.516,1.207,0.805,
37,0.668,8.504,1.401,1.043,
38,0.979,12.511,1.195,0.811,
39,0.698,8.532,1.367,0.807,
40,0.687,8.525,1.305,0.822,
41,0.697,8.523,1.301,1.043,
42,0.982,12.258,1.145,0.794,
43,0.671,8.522,1.296,0.816,
44,0.678,8.518,1.466,0.779,
45,0.671,8.511,1.366,1.038,
46,0.973,12.178,1.085,0.789,
47,0.669,8.527,1.310,0.792,
48,0.682,8.519,1.428,1.025,
1,0.677,4.200,3.838,0.717,
2,0.718,7.068,3.275,0.753,
3,0.723,7.790,2.682,0.781,
4,0.686,7.556,2.698,0.794,
5,0.708,8.109,2.153,0.803,
6,0.723,8.306,2.025,0.773,
7,0.731,8.313,2.000,0.768,
8,0.744,8.295,2.056,0.745,
9,0.725,7.896,1.404,0.797,
10,0.693,7.910,1.431,0.763,
11,0.699,7.823,1.812,0.807,
12,0.693,7.842,1.683,0.782,
13,0.682,7.857,1.454,0.782,
14,0.683,7.845,1.439,0.790,
15,0.683,7.863,1.397,0.840,
16,0.715,7.849,1.518,0.796,
17,0.706,7.875,1.407,0.818,
18,0.688,7.872,1.474,0.784,
19,0.679,7.871,1.491,0.771,
20,0.682,7.889,1.280,0.787,
21,0.698,8.296,1.581,1.042,
22,1.004,10.010,1.420,0.797,
23,0.693,8.301,1.473,0.823,
24,0.696,8.225,1.678,0.800,
25,0.707,8.278,1.676,0.826,
26,0.698,8.558,1.239,0.794,
27,0.686,8.511,1.316,1.052,
28,0.968,9.740,1.107,1.026,
29,0.828,8.519,1.194,0.802,
30,0.686,8.535,1.100,0.805,
31,0.681,8.515,1.334,1.052,
32,0.987,10.886,1.198,0.827,
33,0.667,8.524,1.199,0.805,
34,0.693,8.525,1.348,0.841,
35,0.701,8.519,1.196,0.807,
36,0.696,8.510,1.277,0.833,
37,0.683,8.540,1.402,0.825,
38,0.679,8.519,1.405,1.056,
39,0.988,14.269,1.294,0.798,
40,0.680,8.541,1.253,0.832,
41,0.693,8.509,1.213,0.804,
42,0.694,8.519,1.266,0.813,
43,0.692,8.506,1.357,0.841,
44,0.692,8.525,1.303,0.807,
45,0.699,8.521,1.383,0.823,
46,0.677,8.531,1.395,0.836,
47,0.692,8.520,1.366,1.040,
48,0.999,9.336,1.279,0.823,
1,0.688,4.204,3.853,0.725,
2,0.725,7.070,3.120,0.761,
3,0.728,7.739,1.492,0.739,
4,0.716,7.441,1.373,0.738,
5,0.722,7.598,1.421,0.735,
6,0.725,7.591,1.141,0.747,
7,0.733,7.615,1.087,0.748,
8,0.738,7.588,1.188,0.749,
9,0.742,7.890,1.812,0.798,
10,0.667,8.093,1.575,0.828,
11,0.702,8.174,1.800,0.834,
12,0.706,8.186,1.754,0.839,
13,0.699,8.179,1.726,0.829,
14,0.704,8.186,1.781,0.788,
15,0.699,7.863,1.670,0.814,
16,0.700,7.883,1.603,0.800,
17,0.695,7.889,1.563,0.784,
18,0.700,7.866,1.575,0.801,
19,0.715,7.890,1.604,0.792,
20,0.716,7.907,1.722,0.785,
21,0.716,8.261,1.555,0.827,
22,0.669,8.220,1.539,0.791,
23,0.682,8.240,1.585,0.792,
24,0.682,8.248,1.610,0.801,
25,0.692,8.247,1.577,0.825,
26,0.683,8.537,1.185,0.799,
27,0.693,8.476,1.344,0.793,
28,0.685,9.255,1.388,1.022,
29,0.982,12.338,1.000,0.784,
30,0.676,8.498,1.231,0.810,
31,0.669,8.527,1.298,0.820,
32,0.690,8.517,1.271,0.783,
33,0.675,8.525,1.409,0.800,
34,0.666,8.505,1.328,0.809,
35,0.681,8.509,1.418,1.037,
36,0.982,10.168,1.123,0.825,
37,0.664,8.521,1.302,1.065,
38,1.012,12.642,1.192,0.805,
39,0.678,8.509,1.107,0.799,
40,0.680,8.521,1.208,0.839,
41,0.690,8.520,1.129,0.807,
42,0.690,8.507,1.409,1.036,
43,0.986,11.844,1.281,0.806,
44,0.673,8.514,1.487,0.822,
45,0.683,8.521,1.368,1.057,
46,0.995,12.537,1.382,0.802,
47,0.688,8.518,1.280,0.837,
48,0.687,8.525,1.319,1.016,
1,0.975,8.385,4.077,0.710,
2,0.706,7.077,5.302,0.789,
3,0.660,9.571,2.393,0.774,
4,0.778,9.350,2.127,0.792,
5,0.664,7.639,2.286,0.804,
6,0.662,7.635,2.174,0.808,
7,0.672,7.625,1.945,0.826,
8,0.677,7.639,2.086,0.792,
9,0.675,7.922,1.798,0.808,
10,0.674,7.918,1.769,0.788,
11,0.678,7.832,1.879,0.818,
12,0.652,7.839,1.634,0.817,
13,0.679,7.885,1.793,0.804,
14,0.672,7.851,1.687,0.797,
15,0.668,7.872,1.629,0.821,
16,0.670,7.885,1.750,0.801,
17,0.686,7.865,1.668,0.801,
18,0.673,7.874,1.653,0.816,
19,0.674,7.909,1.652,0.798,
20,0.687,7.911,1.583,0.811,
21,0.679,8.258,1.659,0.774,
22,0.684,8.217,1.660,0.797,
23,0.658,8.227,1.766,0.810,
24,0.682,8.248,1.511,0.811,
25,0.684,8.218,1.734,0.802,
26,0.670,8.529,1.353,0.816,
27,0.669,8.498,1.479,0.813,
28,0.671,8.495,1.224,0.789,
29,0.667,8.490,1.296,0.800,
30,0.669,8.499,1.259,0.789,
31,0.665,8.507,1.369,0.783,
32,0.676,8.489,1.364,0.806,
33,0.678,8.496,1.358,0.788,
34,0.682,8.507,1.295,0.817,
35,0.672,8.512,1.253,0.812,
36,0.665,8.506,1.315,0.803,
37,0.670,8.518,1.486,0.794,
38,0.667,8.499,1.417,0.811,
39,0.673,8.502,1.284,0.784,
40,0.679,8.511,1.279,0.781,
