device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1348.2,55.512,0.002,0.625,0.042,5.203
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1342.62,56.409,0.003,0.545,0.042,5.197
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1344.14,55.585,0.002,0.507,0.049,5.227
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1342.53,58.313,0.003,12.108,0.046,5.009
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1344.83,56.315,0.002,6.249,0.053,5.02
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1340.6,58.394,0.004,3.431,0.042,9.055
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1340.87,58.77,0.002,2.013,0.043,5.006
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1341.17,55.368,0.003,1.251,0.042,5.05
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1341.35,58.577,0.003,0.929,0.043,5.026
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1342.86,60.053,0.003,0.643,0.041,5.033
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1338.38,57.356,0.002,0.537,0.044,5.053
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1338.07,55.338,0.003,0.497,0.046,5.036
