device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,4,64,1,286.883,0.004,1522.21,0,5.141
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,4,128,1,287.897,0.005,1519.56,0,5.106
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,4,256,1,288.704,0.004,1514.21,0.001,5.116
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,1,1,289.915,0.005,1744.28,0,5.121
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,2,1,289.918,0.005,1545.32,0.001,5.119
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,4,1,288.106,0.004,1501.23,0.001,5.029
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,8,1,288.896,0.005,1511.29,0.001,5.125
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,16,1,287.571,0.004,1478.07,0.001,5.189
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,32,1,287.638,0.005,1481.09,0,5.131
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,64,1,289.821,0.004,1475.02,0,5.064
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,8,128,1,288.419,0.005,1464.82,0.001,5.077
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,1,1,288.163,0.005,1564.61,0,5.1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,2,1,288.289,0.004,1516.49,0,5.063
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,4,1,290.407,0.004,1498.95,0.001,5.22
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,8,1,288.271,0.004,1480.65,0.001,5.161
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,16,1,288.04,0.005,1471.8,0.001,5.039
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,32,1,288.677,0.004,1457.21,0.001,5.035
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,16,64,1,289.867,0.005,1454.79,0.001,5.193
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,1,1,289.224,0.004,1518.94,0.001,5.335
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,2,1,288.821,0.004,1490.38,0,5.397
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,4,1,288.844,0.005,1447.64,0.001,5.122
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,8,1,286.95,0.005,1438.19,0.001,5.293
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,16,1,288.569,0.004,1428.49,0.001,5.243
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,32,32,1,288.876,0.005,1416.63,0,5.248
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,64,1,1,290.376,0.005,1496.62,0,5.243
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,64,2,1,287.381,0.004,1471.78,0.001,5.372
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,64,4,1,287.113,0.005,1435.64,0.001,5.341
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,64,8,1,287.266,0.005,1421.38,0,5.255
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,64,16,1,287.559,0.005,1413.89,0.001,5.328
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,128,1,1,286.863,0.005,1490.36,0.001,5.202
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,128,2,1,288.676,0.005,1469.35,0.001,5.372
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,128,4,1,289.207,0.005,1432.05,0,5.3
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,128,8,1,287.429,0.004,1417.97,0,5.245
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,256,1,1,288.892,0.005,1488.73,0,5.309
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,256,2,1,288.267,0.004,1463.32,0.001,5.303
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,256,4,1,293.865,0.005,1433.7,0.001,5.354
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,512,1,1,289.322,0.004,1467.1,0.001,5.284
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,512,2,1,289.483,0.005,1429.37,0.001,5.35
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,2048,2048,5,1024,1,1,281.352,0.004,1409.91,0.001,5.184
