device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,2,28.7229,288.091,14.132,0.003,36.334,13.677,0.947
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,4,28.7229,287.933,14.113,0.003,31.407,13.807,0.98
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,1,28.7229,312.768,30.364,0.003,48.885,14.043,1.122
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,2,28.7229,288.041,22.457,0.002,72.858,13.586,0.947
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,4,28.7229,299.113,17.688,0.003,66.687,13.776,1.379
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,1,28.7229,290.041,14.174,0.003,55.329,14.341,1.174
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,2,28.7229,288,14.14,0.003,33.554,13.774,1.003
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,4,28.7229,288.653,14.28,0.003,61.663,13.681,0.906
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,1,4,28.7229,315.136,18.107,0.003,32.874,13.7,1.077
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,2,4,28.7229,313.057,16.359,0.003,36.366,14.772,1.083
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,1,28.7229,295.487,14.925,0.003,33.303,13.95,1.341
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,2,28.7229,313.174,14.539,0.003,23.888,14.749,1.111
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,4,28.7229,312.802,14.631,0.003,22.216,15.069,1.099
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,1,4,28.7229,321.158,16.875,0.003,23.897,13.48,1.083
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,2,4,28.7229,312.691,17.596,0.002,17.869,14.135,1.11
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,1,28.7229,310.521,20.256,0.002,40.025,13.416,1.293
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,2,28.7229,312.974,15.971,0.003,36.562,13.701,1.095
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,4,28.7229,314.322,14.707,0.003,41.15,14.581,1.059
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,1,28.7229,291.747,15.266,0.002,31.419,12.617,1.303
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,2,28.7229,313.316,18.319,0.003,26.622,14.346,1.073
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,4,28.7229,313.879,16.504,0.003,17.213,15.067,1.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,1,28.7229,310.733,15.492,0.003,20.573,13.656,1.309
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,2,28.7229,314.932,17.952,0.004,31.766,13.571,1.031
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,4,28.7229,313.507,19.017,0.003,24.566,13.12,1.064
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,1,28.7229,309.383,24.828,0.003,37.337,13.712,1.239
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,2,28.7229,315.165,19.312,0.003,25.309,12.964,1.042
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,4,28.7229,312.906,18.168,0.003,20.562,14.169,1.055
